cluster,manual_annotation,intracluster_corr,cluster_size,cluster_gene_size,cluster_member,rest_count,stim8hr_count,stim48hr_count,cluster_member_with_condition,complex_corum,overlap_genes_corum,overlap_fraction_corum,raw_p_value_corum,complex_size_corum,overlap_size_corum,cluster_size_corum,fdr_corum,complex_stringdb,overlap_genes_stringdb,overlap_fraction_stringdb,raw_p_value_stringdb,complex_size_stringdb,overlap_size_stringdb,cluster_size_stringdb,fdr_stringdb,best_described_by,complex_kegg,overlap_genes_kegg,overlap_fraction_kegg,raw_p_value_kegg,complex_size_kegg,overlap_size_kegg,cluster_size_kegg,fdr_kegg,complex_reactome,overlap_genes_reactome,overlap_fraction_reactome,raw_p_value_reactome,complex_size_reactome,overlap_size_reactome,cluster_size_reactome,fdr_reactome,corr_rest,corr_stim8hr,corr_stim48hr,corr_shared,condition_specificity
25,unknown,0.149448409,16,14,"['KMT2C', 'PAN3', 'GP9', 'SBNO1', 'EIF4B', 'UFC1', 'TPD52', 'HEXD', 'GATA3', 'PROX2', 'ZBED1', 'DNTTIP1', 'NEUROD2', 'TM2D1']",14,1,1,"['KMT2C_Rest', 'PAN3_Rest', 'GP9_Rest', 'SBNO1_Rest', 'EIF4B_Rest', 'UFC1_Rest', 'TPD52_Stim8hr', 'HEXD_Rest', 'GATA3_Rest', 'PROX2_Rest', 'ZBED1_Rest', 'DNTTIP1_Rest', 'TPD52_Rest', 'GATA3_Stim48hr', 'NEUROD2_Rest', 'TM2D1_Rest']",BCL6-HDAC4 complex,[],0,1,2,0,14,1,CL:39184,[],0,1,7,0,14,1,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",KEGG_ABC_TRANSPORTERS,[],0,1,44,0,14,1,REACTOME_DEADENYLATION_OF_MRNA,"['PAN3', 'EIF4B']",0.142857143,0.014301053,25,2,14,1,0.180425776,0.077102054,0.080545005,0.046398651,Rest
26,unknown,0.157826484,26,23,"['PFAS', 'CDCA3', 'XPR1', 'NSD1', 'RAB27B', 'ETV2', 'PHF3', 'PLOD3', 'LIN37', 'HOXB4', 'METRN', 'SPOP', 'HIVEP3', 'ZBTB1', 'POMGNT1', 'MAU2', 'HOXB13', 'DESI1', 'ZSCAN25', 'CASK', 'RBM33', 'JOSD2', 'NPEPPS']",23,2,1,"['PFAS_Rest', 'CDCA3_Rest', 'XPR1_Rest', 'NSD1_Stim8hr', 'RAB27B_Rest', 'ETV2_Rest', 'PHF3_Rest', 'PLOD3_Rest', 'LIN37_Stim8hr', 'HOXB4_Rest', 'LIN37_Rest', 'METRN_Rest', 'SPOP_Rest', 'NSD1_Rest', 'HIVEP3_Rest', 'ZBTB1_Rest', 'POMGNT1_Rest', 'NSD1_Stim48hr', 'MAU2_Rest', 'HOXB13_Rest', 'DESI1_Rest', 'ZSCAN25_Rest', 'CASK_Rest', 'RBM33_Rest', 'JOSD2_Rest', 'NPEPPS_Rest']",BCL6-HDAC4 complex,[],0,1,2,0,23,1,CL:9984,"['XPR1', 'METRN']",0.086956522,0.297456058,88,2,23,1,"mixed, incl. Fatty acid metabolism, and Regulation of lipid storage",KEGG_LYSINE_DEGRADATION,"['PLOD3', 'NSD1']",0.086956522,0.101146647,44,2,23,1,REACTOME_2_LTR_CIRCLE_FORMATION,[],0,1,7,0,23,1,0.18350074,0.03400056,0.024623305,0.029672101,Rest
27,unknown,0.385659526,215,215,"['PIGF', 'NPAS2', 'ZNF221', 'ST7L', 'ZSWIM4', 'COX5B', 'IL9', 'LRP6', 'SLC35C2', 'GOLGA3', 'NFAT5', 'TRRAP', 'TMEM30A', 'DENND2D', 'RASA4B', 'SEC24A', 'ARNT', 'AHR', 'ZCCHC4', 'LPCAT3', 'FAM89B', 'RGPD6', 'NUDT19', 'RNF115', 'PRSS21', 'ATP2B1', 'CFAP97', 'KRBA2', 'DYNLT2B', 'CBFA2T2', 'GGA3', 'GNA13', 'PTGER3', 'TNS1', 'CAV1', 'NKX2-8', 'ZNF518A', 'C6orf62', 'PIGH', 'PTCH1', 'MCAT', 'PRRT2', 'RXRB', 'PPIF', 'RBM10', 'SLC35D2', 'ARHGAP30', 'PRXL2B', 'ZNF662', 'HOXC10', 'CCR10', 'NMT1', 'SLC25A3', 'RHOC', 'BARX1', 'MVB12B', 'TP53', 'SLC27A3', 'TAOK2', 'EIF4G2', 'APOBEC3G', 'SEC14L2', 'TPD52L1', 'PPP1R12C', 'ETNK1', 'SP100', 'C1orf21', 'BRD10', 'FBXL15', 'STARD10', 'IMPG2', 'PTRH2', 'ZBTB9', 'HYKK', 'FBF1', 'ZNF304', 'SUPT3H', 'DNAJC4', 'ZNF512B', 'DLG4', 'CKAP4', 'SBF1', 'ZNF653', 'BLZF1', 'HIP1R', 'RASAL3', 'SRSF11', 'ZHX1-C8orf76', 'TRUB1', 'SEMA4C', 'AKR1C1', 'ABHD12', 'ATP5F1B', 'EI24', 'ZNF18', 'TMED4', 'AIP', 'EFHC1', 'NRBP1', 'GABARAPL1', 'CD2BP2', 'DVL1', 'CCR4', 'TMEM87B', 'CEP43', 'MANEA', 'LOXL4', 'SOCS5', 'TBC1D14', 'ACSL6', 'ATXN1L', 'PARD6A', 'AVPR2', 'TMEM245', 'TIGAR', 'IL23R', 'HSD11B2', 'DYNC2H1', 'AMER1', 'DOCK2', 'MEMO1', 'SH3D21', 'NMRAL1', 'TWF1', 'DOP1B', 'DCTPP1', 'STK35', 'PRCP', 'IMPA2', 'RCN1', 'SRF', 'STK19', 'ZNF70', 'NLRX1', 'TRAPPC3', 'UHRF1', 'MOB1A', 'FKBP2', 'ISG15', 'ZBTB8OS', 'TRIM2', 'CCDC12', 'ZNF148', 'GEN1', 'CRY1', 'HSPBAP1', 'ICOS', 'C1orf115', 'CYB5D1', 'NDUFA10', 'TMEM265', 'USP13', 'ZW10', 'PDK1', 'AP4M1', 'DNAH3', 'AGPAT1', 'PIAS1', 'PPM1L', 'LBH', 'MOV10', 'BAZ1A', 'INSR', 'CHEK2', 'ARF1', 'CSK', 'CDC25B', 'SNPH', 'NR2E1', 'FLT1', 'WNT9A', 'ZNF414', 'DRAP1', 'PPP6R2', 'TEP1', 'GZF1', 'PTP4A2', 'ORMDL2', 'FBXO32', 'ATP8B1', 'MAN1A2', 'DEFA6', 'PACSIN2', 'STIP1', 'HNF4A', 'RIPK1', 'INPP5K', 'EPB41L3', 'ZNF165', 'FAM3C', 'NCKAP1L', 'NEB', 'SACM1L', 'THRA', 'FAM83F', 'PHGR1', 'TTC39C', 'ACSS1', 'WASF2', 'SAMD4B', 'MIA3', 'ZMYM2', 'CHMP1A', 'CRTC2', 'CRTAP', 'SP140L', 'ADCY4', 'CMTR1', 'IL21', 'SPSB3', 'UBXN1', 'CEP57', 'CTSF', 'DEF8', 'CCDC28B']",215,0,0,"['PIGF_Rest', 'NPAS2_Rest', 'ZNF221_Rest', 'ST7L_Rest', 'ZSWIM4_Rest', 'COX5B_Rest', 'IL9_Rest', 'LRP6_Rest', 'SLC35C2_Rest', 'GOLGA3_Rest', 'NFAT5_Rest', 'TRRAP_Rest', 'TMEM30A_Rest', 'DENND2D_Rest', 'RASA4B_Rest', 'SEC24A_Rest', 'ARNT_Rest', 'AHR_Rest', 'ZCCHC4_Rest', 'LPCAT3_Rest', 'FAM89B_Rest', 'RGPD6_Rest', 'NUDT19_Rest', 'RNF115_Rest', 'PRSS21_Rest', 'ATP2B1_Rest', 'CFAP97_Rest', 'KRBA2_Rest', 'DYNLT2B_Rest', 'CBFA2T2_Rest', 'GGA3_Rest', 'GNA13_Rest', 'PTGER3_Rest', 'TNS1_Rest', 'CAV1_Rest', 'NKX2-8_Rest', 'ZNF518A_Rest', 'C6orf62_Rest', 'PIGH_Rest', 'PTCH1_Rest', 'MCAT_Rest', 'PRRT2_Rest', 'RXRB_Rest', 'PPIF_Rest', 'RBM10_Rest', 'SLC35D2_Rest', 'ARHGAP30_Rest', 'PRXL2B_Rest', 'ZNF662_Rest', 'HOXC10_Rest', 'CCR10_Rest', 'NMT1_Rest', 'SLC25A3_Rest', 'RHOC_Rest', 'BARX1_Rest', 'MVB12B_Rest', 'TP53_Rest', 'SLC27A3_Rest', 'TAOK2_Rest', 'EIF4G2_Rest', 'APOBEC3G_Rest', 'SEC14L2_Rest', 'TPD52L1_Rest', 'PPP1R12C_Rest', 'ETNK1_Rest', 'SP100_Rest', 'C1orf21_Rest', 'BRD10_Rest', 'FBXL15_Rest', 'STARD10_Rest', 'IMPG2_Rest', 'PTRH2_Rest', 'ZBTB9_Rest', 'HYKK_Rest', 'FBF1_Rest', 'ZNF304_Rest', 'SUPT3H_Rest', 'DNAJC4_Rest', 'ZNF512B_Rest', 'DLG4_Rest', 'CKAP4_Rest', 'SBF1_Rest', 'ZNF653_Rest', 'BLZF1_Rest', 'HIP1R_Rest', 'RASAL3_Rest', 'SRSF11_Rest', 'ZHX1-C8orf76_Rest', 'TRUB1_Rest', 'SEMA4C_Rest', 'AKR1C1_Rest', 'ABHD12_Rest', 'ATP5F1B_Rest', 'EI24_Rest', 'ZNF18_Rest', 'TMED4_Rest', 'AIP_Rest', 'EFHC1_Rest', 'NRBP1_Rest', 'GABARAPL1_Rest', 'CD2BP2_Rest', 'DVL1_Rest', 'CCR4_Rest', 'TMEM87B_Rest', 'CEP43_Rest', 'MANEA_Rest', 'LOXL4_Rest', 'SOCS5_Rest', 'TBC1D14_Rest', 'ACSL6_Rest', 'ATXN1L_Rest', 'PARD6A_Rest', 'AVPR2_Rest', 'TMEM245_Rest', 'TIGAR_Rest', 'IL23R_Rest', 'HSD11B2_Rest', 'DYNC2H1_Rest', 'AMER1_Rest', 'DOCK2_Rest', 'MEMO1_Rest', 'SH3D21_Rest', 'NMRAL1_Rest', 'TWF1_Rest', 'DOP1B_Rest', 'DCTPP1_Rest', 'STK35_Rest', 'PRCP_Rest', 'IMPA2_Rest', 'RCN1_Rest', 'SRF_Rest', 'STK19_Rest', 'ZNF70_Rest', 'NLRX1_Rest', 'TRAPPC3_Rest', 'UHRF1_Rest', 'MOB1A_Rest', 'FKBP2_Rest', 'ISG15_Rest', 'ZBTB8OS_Rest', 'TRIM2_Rest', 'CCDC12_Rest', 'ZNF148_Rest', 'GEN1_Rest', 'CRY1_Rest', 'HSPBAP1_Rest', 'ICOS_Rest', 'C1orf115_Rest', 'CYB5D1_Rest', 'NDUFA10_Rest', 'TMEM265_Rest', 'USP13_Rest', 'ZW10_Rest', 'PDK1_Rest', 'AP4M1_Rest', 'DNAH3_Rest', 'AGPAT1_Rest', 'PIAS1_Rest', 'PPM1L_Rest', 'LBH_Rest', 'MOV10_Rest', 'BAZ1A_Rest', 'INSR_Rest', 'CHEK2_Rest', 'ARF1_Rest', 'CSK_Rest', 'CDC25B_Rest', 'SNPH_Rest', 'NR2E1_Rest', 'FLT1_Rest', 'WNT9A_Rest', 'ZNF414_Rest', 'DRAP1_Rest', 'PPP6R2_Rest', 'TEP1_Rest', 'GZF1_Rest', 'PTP4A2_Rest', 'ORMDL2_Rest', 'FBXO32_Rest', 'ATP8B1_Rest', 'MAN1A2_Rest', 'DEFA6_Rest', 'PACSIN2_Rest', 'STIP1_Rest', 'HNF4A_Rest', 'RIPK1_Rest', 'INPP5K_Rest', 'EPB41L3_Rest', 'ZNF165_Rest', 'FAM3C_Rest', 'NCKAP1L_Rest', 'NEB_Rest', 'SACM1L_Rest', 'THRA_Rest', 'FAM83F_Rest', 'PHGR1_Rest', 'TTC39C_Rest', 'ACSS1_Rest', 'WASF2_Rest', 'SAMD4B_Rest', 'MIA3_Rest', 'ZMYM2_Rest', 'CHMP1A_Rest', 'CRTC2_Rest', 'CRTAP_Rest', 'SP140L_Rest', 'ADCY4_Rest', 'CMTR1_Rest', 'IL21_Rest', 'SPSB3_Rest', 'UBXN1_Rest', 'CEP57_Rest', 'CTSF_Rest', 'DEF8_Rest', 'CCDC28B_Rest']",AHR-ARNT complex,"['ARNT', 'AHR']",0.009302326,0.013306379,2,2,215,1,CL:32299,"['SEC14L2', 'FAM83F']",0.009302326,0.10508811,5,2,215,1,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",KEGG_CIRCADIAN_RHYTHM_MAMMAL,"['CRY1', 'NPAS2']",0.009302326,0.453842223,13,2,215,1,REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,"['AIP', 'ARNT', 'AHR']",0.013953488,0.023362376,6,3,215,1,0.387461673,0.087457937,0.04398412,0.068930054,Rest
28,ribosomal and mitochrondrial function,0.289242197,49,49,"['TARS2', 'KAT14', 'LRPPRC', 'TWNK', 'COA3', 'DHODH', 'UQCRB', 'MRPL37', 'MRPL16', 'TUFM', 'MRPS26', 'MRPS23', 'MRPL10', 'MRPS15', 'MRPL46', 'HCCS', 'COX4I1', 'COQ2', 'PNPT1', 'MRPS17', 'BCS1L', 'TIMM8B', 'MIPEP', 'UQCRQ', 'ATXN10', 'KIFAP3', 'POLRMT', 'FH', 'LARS2', 'MRPL42', 'CAD', 'NPC2', 'MRPL45', 'COX6C', 'GDF9', 'MRPS2', 'PARS2', 'PDSS2', 'STXBP4', 'TFAM', 'SSBP1', 'UMPS', 'HSD17B10', 'COX5A', 'HMBS', 'COX11', 'MRPS35', 'SLC25A10', 'MYCN']",49,0,0,"['TARS2_Rest', 'KAT14_Rest', 'LRPPRC_Rest', 'TWNK_Rest', 'COA3_Rest', 'DHODH_Rest', 'UQCRB_Rest', 'MRPL37_Rest', 'MRPL16_Rest', 'TUFM_Rest', 'MRPS26_Rest', 'MRPS23_Rest', 'MRPL10_Rest', 'MRPS15_Rest', 'MRPL46_Rest', 'HCCS_Rest', 'COX4I1_Rest', 'COQ2_Rest', 'PNPT1_Rest', 'MRPS17_Rest', 'BCS1L_Rest', 'TIMM8B_Rest', 'MIPEP_Rest', 'UQCRQ_Rest', 'ATXN10_Rest', 'KIFAP3_Rest', 'POLRMT_Rest', 'FH_Rest', 'LARS2_Rest', 'MRPL42_Rest', 'CAD_Rest', 'NPC2_Rest', 'MRPL45_Rest', 'COX6C_Rest', 'GDF9_Rest', 'MRPS2_Rest', 'PARS2_Rest', 'PDSS2_Rest', 'STXBP4_Rest', 'TFAM_Rest', 'SSBP1_Rest', 'UMPS_Rest', 'HSD17B10_Rest', 'COX5A_Rest', 'HMBS_Rest', 'COX11_Rest', 'MRPS35_Rest', 'SLC25A10_Rest', 'MYCN_Rest']","55S ribosome, mitochondrial","['MRPS23', 'MRPL37', 'MRPS15', 'MRPL46', 'MRPL42', 'MRPS26', 'MRPS2', 'MRPL10', 'MRPS35', 'MRPL16', 'MRPS17', 'MRPL45']",0.244897959,3.33E-07,78,12,49,0.004361333,CL:566,"['MRPS23', 'MRPL37', 'MRPS15', 'MRPL46', 'MRPL42', 'MRPS26', 'MRPS2', 'MRPL10', 'MRPS35', 'MRPL16', 'MRPS17', 'MRPL45']",0.244897959,2.88E-07,77,12,49,0.00180532,Organellar ribosome,KEGG_CARDIAC_MUSCLE_CONTRACTION,"['UQCRQ', 'COX6C', 'COX4I1', 'COX5A', 'UQCRB']",0.102040816,0.053751604,79,5,49,1,REACTOME_MITOCHONDRIAL_TRANSLATION,"['MRPS23', 'MRPL37', 'MRPS15', 'MRPL42', 'MRPL46', 'MRPS26', 'TUFM', 'MRPL10', 'MRPS2', 'MRPS35', 'MRPL16', 'MRPS17', 'MRPL45']",0.265306122,4.62E-07,96,13,49,0.002224977,0.295268076,0.378060084,0.415656269,0.157834836,across_condition
29,unknown,0.182569866,4,4,"['ARIH1', 'PPP6C', 'N6AMT1', 'CYLD']",4,0,0,"['ARIH1_Rest', 'PPP6C_Rest', 'N6AMT1_Rest', 'CYLD_Rest']",BCL6-HDAC4 complex,[],0,1,2,0,4,1,CL:39184,[],0,1,7,0,4,1,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",KEGG_ABC_TRANSPORTERS,[],0,1,44,0,4,1,REACTOME_2_LTR_CIRCLE_FORMATION,[],0,1,7,0,4,1,0.243426488,0.105428007,0.087875972,0.091543585,Rest
30,unknown,0.222387607,87,87,"['ECHS1', 'RHOF', 'SOCS3', 'H2BC10', 'NAA30', 'KBTBD2', 'EIF1AX', 'CUL3', 'FBXO38', 'NCAPG2', 'ATP1B3', 'DCAKD', 'THAP11', 'PAK1', 'STK40', 'SLC5A6', 'CKLF-CMTM1', 'PRAM1', 'TENT2', 'NFKBIL1', 'ABCC1', 'ZNF154', 'MYH9', 'CCDC138', 'PPP1R12A', 'RHEB', 'LRP2BP', 'ATG12', 'RALGAPB', 'LAMP1', 'SIRT7', 'COG6', 'CFD', 'ZNF93', 'ZNF703', 'ATM', 'FHL1', 'PIK3R4', 'SLC17A5', 'DET1', 'IST1', 'LAT2', 'AP1S2', 'PTPN2', 'PKN1', 'ZNF649', 'PPDPF', 'MMP9', 'DCAF16', 'NFKB1', 'CFAP298', 'ENDOG', 'KRCC1', 'ZNF613', 'PARP14', 'MAGEH1', 'ZMAT1', 'EDC3', 'NPHP4', 'CAND1', 'RWDD2B', 'ATP2A2', 'GZMB', 'RAD50', 'MAN2A1', 'CISD1', 'MTMR3', 'PCBP2', 'NKX6-3', 'PHF19', 'DIS3L2', 'RAD54L2', 'CRYZL1', 'FBXL3', 'NCAM1', 'SAC3D1', 'CLCC1', 'FAM229A', 'ABHD13', 'TBC1D10A', 'SIK2', 'BRK1', 'ANKAR', 'CAP1', 'TIMM10', 'SPTBN1', 'KAT7']",87,0,0,"['ECHS1_Rest', 'RHOF_Rest', 'SOCS3_Rest', 'H2BC10_Rest', 'NAA30_Rest', 'KBTBD2_Rest', 'EIF1AX_Rest', 'CUL3_Rest', 'FBXO38_Rest', 'NCAPG2_Rest', 'ATP1B3_Rest', 'DCAKD_Rest', 'THAP11_Rest', 'PAK1_Rest', 'STK40_Rest', 'SLC5A6_Rest', 'CKLF-CMTM1_Rest', 'PRAM1_Rest', 'TENT2_Rest', 'NFKBIL1_Rest', 'ABCC1_Rest', 'ZNF154_Rest', 'MYH9_Rest', 'CCDC138_Rest', 'PPP1R12A_Rest', 'RHEB_Rest', 'LRP2BP_Rest', 'ATG12_Rest', 'RALGAPB_Rest', 'LAMP1_Rest', 'SIRT7_Rest', 'COG6_Rest', 'CFD_Rest', 'ZNF93_Rest', 'ZNF703_Rest', 'ATM_Rest', 'FHL1_Rest', 'PIK3R4_Rest', 'SLC17A5_Rest', 'DET1_Rest', 'IST1_Rest', 'LAT2_Rest', 'AP1S2_Rest', 'PTPN2_Rest', 'PKN1_Rest', 'ZNF649_Rest', 'PPDPF_Rest', 'MMP9_Rest', 'DCAF16_Rest', 'NFKB1_Rest', 'CFAP298_Rest', 'ENDOG_Rest', 'KRCC1_Rest', 'ZNF613_Rest', 'PARP14_Rest', 'MAGEH1_Rest', 'ZMAT1_Rest', 'EDC3_Rest', 'NPHP4_Rest', 'CAND1_Rest', 'RWDD2B_Rest', 'ATP2A2_Rest', 'GZMB_Rest', 'RAD50_Rest', 'MAN2A1_Rest', 'CISD1_Rest', 'MTMR3_Rest', 'PCBP2_Rest', 'NKX6-3_Rest', 'PHF19_Rest', 'DIS3L2_Rest', 'RAD54L2_Rest', 'CRYZL1_Rest', 'FBXL3_Rest', 'NCAM1_Rest', 'SAC3D1_Rest', 'CLCC1_Rest', 'FAM229A_Rest', 'ABHD13_Rest', 'TBC1D10A_Rest', 'SIK2_Rest', 'BRK1_Rest', 'ANKAR_Rest', 'CAP1_Rest', 'TIMM10_Rest', 'SPTBN1_Rest', 'KAT7_Rest']",CAND1-CUL3-RBX1 complex,"['CUL3', 'CAND1']",0.022988506,0.00629354,3,2,87,1,CL:35915,"['ZNF93', 'ZNF649']",0.022988506,0.028694691,6,2,87,1,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",KEGG_REGULATION_OF_AUTOPHAGY,"['PIK3R4', 'ATG12']",0.022988506,0.493663093,35,2,87,1,REACTOME_SENSING_OF_DNA_DOUBLE_STRAND_BREAKS,"['ATM', 'RAD50']",0.022988506,0.028694691,6,2,87,1,0.224973509,0.191229845,0.066344624,0.047788768,Rest
31,Ragulator-Rag complex,0.379515033,12,12,"['RRAGA', 'RPTOR', 'VPS35', 'LAMTOR4', 'LAMTOR3', 'MIOS', 'WDR59', 'TMEM214', 'VPS29', 'LAMTOR2', 'LAMTOR5', 'RRAGC']",0,0,12,"['RRAGA_Stim48hr', 'RPTOR_Stim48hr', 'VPS35_Stim48hr', 'LAMTOR4_Stim48hr', 'LAMTOR3_Stim48hr', 'MIOS_Stim48hr', 'WDR59_Stim48hr', 'TMEM214_Stim48hr', 'VPS29_Stim48hr', 'LAMTOR2_Stim48hr', 'LAMTOR5_Stim48hr', 'RRAGC_Stim48hr']",Ragulator-Rag complex,"['LAMTOR2', 'LAMTOR5', 'LAMTOR3', 'LAMTOR4', 'RRAGA', 'RRAGC']",0.5,1.13E-13,7,6,12,1.36E-08,CL:14569,"['WDR59', 'LAMTOR2', 'LAMTOR5', 'MIOS', 'LAMTOR3', 'LAMTOR4', 'RRAGA', 'RRAGC']",0.666666667,4.23E-13,28,8,12,1.29E-08,Amino acids regulate mTORC1,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,12,1,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,"['LAMTOR2', 'WDR59', 'LAMTOR5', 'MIOS', 'LAMTOR3', 'LAMTOR4', 'RPTOR', 'RRAGA', 'RRAGC']",0.75,1.81E-12,55,9,12,8.74E-08,0.250172878,0.30362092,0.4140164,0.177520806,across_condition
32,Ragulator-Rag complex,0.28176607,13,11,"['LAMTOR3', 'MIOS', 'FOXK1', 'WDR59', 'TMEM214', 'RPTOR', 'RRAGC', 'LAMTOR4', 'LAMTOR2', 'RRAGA', 'WDR24']",1,11,1,"['LAMTOR3_Stim8hr', 'MIOS_Stim8hr', 'FOXK1_Rest', 'FOXK1_Stim48hr', 'WDR59_Stim8hr', 'TMEM214_Stim8hr', 'RPTOR_Stim8hr', 'FOXK1_Stim8hr', 'RRAGC_Stim8hr', 'LAMTOR4_Stim8hr', 'LAMTOR2_Stim8hr', 'RRAGA_Stim8hr', 'WDR24_Stim8hr']",Ragulator-Rag complex,"['LAMTOR2', 'LAMTOR3', 'LAMTOR4', 'RRAGA', 'RRAGC']",0.454545455,5.23E-11,7,5,11,3.92E-06,CL:14569,"['WDR59', 'WDR24', 'LAMTOR2', 'MIOS', 'LAMTOR3', 'LAMTOR4', 'RRAGA', 'RRAGC']",0.727272727,1.42E-13,28,8,11,5.66E-09,Amino acids regulate mTORC1,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,11,1,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,"['LAMTOR2', 'WDR24', 'WDR59', 'MIOS', 'LAMTOR3', 'LAMTOR4', 'RPTOR', 'RRAGA', 'RRAGC']",0.818181818,4.64E-13,55,9,11,2.98E-08,0.251501747,0.36115156,0.372519906,0.19122491,across_condition
33,elongator complex,0.283667524,31,13,"['CTU2', 'ELP4', 'MOCS3', 'ELP3', 'SLC39A6', 'ELP5', 'ELP1', 'URM1', 'DPM1', 'NR2C2AP', 'KTI12', 'ELP2', 'CTU1']",11,13,7,"['CTU2_Stim8hr', 'ELP4_Stim8hr', 'MOCS3_Stim8hr', 'CTU2_Rest', 'ELP3_Stim8hr', 'SLC39A6_Stim8hr', 'ELP5_Stim8hr', 'ELP1_Stim8hr', 'ELP3_Rest', 'URM1_Stim8hr', 'ELP4_Stim48hr', 'DPM1_Rest', 'MOCS3_Rest', 'NR2C2AP_Stim8hr', 'ELP3_Stim48hr', 'KTI12_Rest', 'ELP2_Stim48hr', 'ELP2_Rest', 'ELP1_Stim48hr', 'NR2C2AP_Stim48hr', 'KTI12_Stim8hr', 'DPM1_Stim8hr', 'KTI12_Stim48hr', 'CTU1_Stim8hr', 'ELP2_Stim8hr', 'ELP1_Rest', 'ELP4_Rest', 'URM1_Rest', 'ELP5_Rest', 'CTU1_Rest', 'ELP5_Stim48hr']","Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)","['ELP5', 'ELP4', 'ELP3', 'ELP1', 'ELP2']",0.384615385,4.17E-11,6,5,13,3.92E-06,CL:7614,"['CTU2', 'KTI12', 'ELP5', 'CTU1', 'MOCS3', 'ELP4', 'ELP3', 'ELP1', 'ELP2', 'URM1']",0.769230769,1.41E-22,12,10,13,1.46E-17,tRNA wobble uridine modification,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,13,1,REACTOME_HATS_ACETYLATE_HISTONES,"['ELP5', 'ELP4', 'ELP3', 'ELP1', 'ELP2']",0.384615385,0.001885222,142,5,13,1,0.396221776,0.42842398,0.273553189,0.216711549,across_condition
34,peptidyl-diphthamide metabolism,0.293046792,6,6,"['DPH6', 'DNAJC24', 'TPT1', 'TTC4', 'DPH1', 'DPH5']",0,6,0,"['DPH6_Stim8hr', 'DNAJC24_Stim8hr', 'TPT1_Stim8hr', 'TTC4_Stim8hr', 'DPH1_Stim8hr', 'DPH5_Stim8hr']",BCL6-HDAC4 complex,[],0,1,2,0,6,1,CL:7638,"['DPH5', 'DPH1', 'DPH6']",0.5,1.86E-07,5,3,6,0.001251033,Peptidyl-diphthamide metabolic process,KEGG_ABC_TRANSPORTERS,[],0,1,44,0,6,1,REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,"['DPH5', 'DPH1', 'DPH6', 'DNAJC24']",0.666666667,2.10E-09,8,4,6,3.38E-05,0.284371507,0.35165615,0.277915623,0.161381261,across_condition
