section_name	count	maxo_label	status	ncit_id	ncit_label	queries_tried	decision_notes
Topical antibiotics	1	antibacterial agent therapy	NEAR_MATCH	NCIT:C15620	Antibiotic Therapy	search:Topical antibiotics;search:Topical Antibiotic;search:Antibiotic Therapy;info:l~Topical antibiotics	No topical-specific antibiotic therapy concept; mapped to antibiotic therapy.
Clindamycin/adapalene/benzoyl peroxide gel	1	pharmacotherapy	NO_MATCH			search:Clindamycin/adapalene/benzoyl peroxide gel;search:Clindamycin adapalene benzoyl peroxide;search:Clindamycin;search:Adapalene;search:Benzoyl Peroxide;info:l~Clindamycin/adapalene/benzoyl peroxide gel	No single triple-combination gel concept; components exist individually.
Oral antibiotics	1	antibacterial agent therapy	NEAR_MATCH	NCIT:C15620	Antibiotic Therapy	search:Oral antibiotics;search:Oral Antibiotic;search:Antibiotic Therapy;info:l~Oral antibiotics	No oral-route specific class found; mapped to antibiotic therapy.
Oral isotretinoin	1	retinoid agent therapy	NEAR_MATCH	NCIT:C603	Isotretinoin	search:Oral isotretinoin;search:Isotretinoin	Route-specific phrasing mapped to isotretinoin compound.
Hormonal therapy	1	hormone modifying therapy	MATCH	NCIT:C15445	Hormone Therapy	search:Hormonal therapy;search:Hormonal Therapy;search:Hormone Therapy	Case/wording normalized to hormone therapy concept.
Chemical peels	1	therapeutic procedure of skin of body	MATCH	NCIT:C93203	Chemical Peel	search:Chemical peels;search:Chemical Peel;search:Skin Peel	Plural normalized to singular chemical peel concept.
Azelaic acid peel	1	therapeutic procedure of skin of body	NEAR_MATCH	NCIT:C47407	Azelaic Acid	search:Azelaic acid peel;search:Azelaic Acid;search:Chemical Peel	Mapped peel phrase to active compound concept; peel-specific concept not found.
Chemical peels for acne scarring	1	therapeutic procedure of skin of body	NEAR_MATCH	NCIT:C93203	Chemical Peel	search:Chemical peels for acne scarring;search:Chemical Peel;search:Acne Scarring;info:l~Chemical peels for acne scarring	No acne-scarring-specific peel concept; mapped to chemical peel procedure.
Ablative fractional CO2 laser	1	laser surgical procedure	NEAR_MATCH	NCIT:C15466	Laser Therapy	search:Ablative fractional CO2 laser;search:Fractional CO2 Laser;search:CO2 Laser;search:Laser Therapy;info:l~Ablative fractional CO2 laser	Mapped specific laser modality wording to broader laser therapy concept.
Post-laser antioxidant serum	1	pharmacotherapy	NEAR_MATCH	NCIT:C275	Antioxidant	search:Post-laser antioxidant serum;search:Antioxidant;search:Topical Antioxidant;info:l~Post-laser antioxidant serum	No serum-treatment concept found; mapped to antioxidant class.
Blue light therapy	1	radiation therapy	NEAR_MATCH	NCIT:C21062	Actinotherapy	search:Blue light therapy;search:Blue Light Therapy;search:Light Therapy;info:l~Blue light therapy	Mapped light therapy phrasing to NCIT actinotherapy concept.
Visible light therapy	1	radiation therapy	NEAR_MATCH	NCIT:C21062	Actinotherapy	search:Visible light therapy;search:Visible Light Therapy;search:Light Therapy;info:l~Visible light therapy	Mapped visible-light therapy to actinotherapy concept.
Photodynamic therapy	1	radiation therapy	MATCH	NCIT:C15300	Photodynamic Therapy	search:Photodynamic therapy;search:Photodynamic Therapy;info:l~Photodynamic therapy	Exact label match.
Nd:YAG laser and intralesional PRP	1	therapeutic procedure of skin of body	NO_MATCH			search:Nd:YAG laser and intralesional PRP;search:Nd:YAG laser;search:PRP;search:Platelet-Rich Plasma;info:l~Nd:YAG laser and intralesional PRP	No single combined concept for laser+intralesional PRP; only component concepts returned.
1726 nm laser therapy	1	laser surgical procedure	NEAR_MATCH	NCIT:C15466	Laser Therapy	search:1726 nm laser therapy;search:Laser Therapy;search:1726 nm laser;info:l~1726 nm laser therapy	Wavelength-specific concept absent; mapped to laser therapy.
Prophylaxis for Opportunistic Infections	1	preventative therapy	NO_MATCH			search:Prophylaxis for Opportunistic Infections;search:Opportunistic Infection Prophylaxis;search:Opportunistic Infection;search:Infection Prophylaxis;info:l~Prophylaxis for Opportunistic Infections	No prophylaxis treatment concept found specific to opportunistic infections.
Treatment of Opportunistic Infections	1	pharmacotherapy	NO_MATCH			search:Treatment of Opportunistic Infections;search:Opportunistic Infection Treatment;search:Opportunistic Infection;info:l~Treatment of Opportunistic Infections	No direct treatment-action concept found; disease concept only.
Glucocorticoid Replacement	1	hormone modifying therapy	NEAR_MATCH	NCIT:C521	Therapeutic Glucocorticoid	search:Glucocorticoid Replacement;search:Glucocorticoid Therapy;search:Glucocorticoid;info:l~Glucocorticoid Replacement	Replacement phrasing mapped to therapeutic glucocorticoid class.
Mineralocorticoid Replacement	1	hormone modifying therapy	NEAR_MATCH	NCIT:C2324	Mineralocorticoid	search:Mineralocorticoid Replacement;search:Mineralocorticoid;info:l~Mineralocorticoid Replacement	No replacement-therapy concept; mapped to mineralocorticoid class.
Salt Supplementation	1	nutritional supplementation	NEAR_MATCH	NCIT:C29974	Sodium Chloride	search:Salt Supplementation;search:Sodium Supplement;search:Sodium Chloride	Mapped supplementation phrasing to sodium chloride concept.
Emergency Medical ID	1	supportive care	NO_MATCH			search:Emergency Medical ID;search:Medical ID;search:Medical Alert	No clear NCIT intervention/device concept for emergency medical ID found.
Stress Dose Adjustments	1	pharmacotherapy	NEAR_MATCH	NCIT:C82495	Dose Adjustment	search:Stress Dose Adjustments;search:Stress Dose;search:Dose Adjustment	Mapped phrase to generic dose adjustment action concept.
Mogamulizumab	1	pharmacotherapy	MATCH	NCIT:C62510	Mogamulizumab	search:Mogamulizumab	Exact label match.
Interferon-alpha and Zidovudine	1	pharmacotherapy	NO_MATCH			search:Interferon-alpha and Zidovudine;search:Interferon alpha zidovudine;search:Zidovudine;search:Interferon Alfa	No single combination concept; component drugs present (C225/C947).
Locoregional Therapy	1	pharmacotherapy	NEAR_MATCH	NCIT:C15687	Local Therapy	search:Locoregional Therapy;search:Local Therapy	Mapped locoregional phrasing to local therapy concept.
Aflatoxin Exposure Prevention	1	vaccination	NO_MATCH			search:Aflatoxin Exposure Prevention;search:Aflatoxin Prevention;search:Aflatoxin Exposure;search:Aflatoxin	No prevention-action concept identified; only aflatoxin substance concept returned.
Surgical excision of constriction band with disarticulation	1	surgical procedure	NEAR_MATCH	NCIT:C175012	Surgical Disarticulation	search:Surgical excision of constriction band with disarticulation;search:Constriction Band Excision;search:Disarticulation;search:Surgical Excision	Mapped complex procedure phrase to closest disarticulation surgical concept.
Treat underlying condition	1	medical action	NO_MATCH			search:Treat underlying condition;search:Underlying condition treatment;search:Medical Management;info:l~Treat underlying condition	Too generic/non-ontological action phrase; no specific NCIT treatment concept.
Carbamazepine for seizure-related akinetopsia	1	pharmacotherapy	NEAR_MATCH	NCIT:C341	Carbamazepine	search:Carbamazepine for seizure-related akinetopsia;search:Carbamazepine;search:Akinetopsia;info:l~Carbamazepine for seizure-related akinetopsia	Condition-qualified phrase mapped to carbamazepine drug concept.
Cognitive Therapy	1	behavioral counseling	NO_MATCH			search:Cognitive Therapy;search:Cognitive Behavioral Therapy;info:l~Cognitive Therapy	No NCIT treatment concept found for generic cognitive therapy label.
Alpha-1 Antitrypsin Augmentation Therapy	1	pharmacotherapy	NEAR_MATCH	NCIT:C82258	Alpha-1-Proteinase Inhibitor Human	search:Alpha-1 Antitrypsin Augmentation Therapy;search:Alpha-1 Antitrypsin;info:l~Alpha-1 Antitrypsin Augmentation Therapy	Mapped augmentation therapy to alpha-1-proteinase inhibitor therapeutic product.
Cognitive Stimulation and Rehabilitation	1	supportive care	NO_MATCH			search:Cognitive Stimulation and Rehabilitation;search:Cognitive Rehabilitation;search:Cognitive Stimulation;info:l~Cognitive Stimulation and Rehabilitation	No suitable NCIT intervention concept found.
Riluzole	1	pharmacotherapy	MATCH	NCIT:C47704	Riluzole	search:Riluzole	Exact label match.
Edaravone	1	pharmacotherapy	MATCH	NCIT:C74323	Edaravone	search:Edaravone	Exact label match.
Tofersen	1	pharmacotherapy	MATCH	NCIT:C166584	Tofersen	search:Tofersen	Exact label match.
Non-invasive Ventilation	1	noninvasive ventilation	NEAR_MATCH	NCIT:C217065	Ventilation Assistance	search:Non-invasive Ventilation;search:Noninvasive Ventilation;search:Ventilation;info:l~Non-invasive Ventilation	Mapped to closest ventilation-assistance concept.
Percutaneous Endoscopic Gastrostomy	1	supportive care	MATCH	NCIT:C106040	Percutaneous Endoscopic Gastrostomy	search:Percutaneous Endoscopic Gastrostomy	Exact label match.
Syndactyly Release	1	surgical procedure	NO_MATCH			search:Syndactyly Release;search:Syndactyly Surgery;search:Syndactyly;info:l~Syndactyly Release	Only phenotype concept found; no specific release procedure concept returned.
Estrogen Replacement Therapy	1	hormone modifying therapy	MATCH	NCIT:C15231	Estrogen Replacement Therapy	search:Estrogen Replacement Therapy	Exact label match.
Antiandrogen Therapy	1	pharmacotherapy	MATCH	NCIT:C15481	Antiandrogen Therapy	search:Antiandrogen Therapy	Exact label match.
Systemic Cancer Treatment	1	chemotherapy	NEAR_MATCH	NCIT:C15698	Systemic Therapy	search:Systemic Cancer Treatment;search:Systemic Cancer Therapy;search:Systemic Therapy;info:l~Systemic Cancer Treatment	Mapped cancer-qualified phrasing to systemic therapy concept.
Inhaled Corticosteroid	1	respiratory tract agent therapy	NEAR_MATCH	NCIT:C2322	Corticosteroid	search:Inhaled Corticosteroid;search:Corticosteroid;info:l~Inhaled Corticosteroid	No inhaled-specific class found; mapped to corticosteroid class.
Long-acting Beta Agonist	1	respiratory tract agent therapy	NEAR_MATCH	NCIT:C48149	Beta-Adrenergic Agonist	search:Long-acting Beta Agonist;search:Beta Agonist;search:Beta-Adrenergic Agonist;search:Adrenergic Agonist	Duration qualifier absent; mapped to beta-adrenergic agonist class.
Leukotriene Modifier	1	respiratory tract agent therapy	NEAR_MATCH	NCIT:C608	Leukotriene	search:Leukotriene Modifier;search:Leukotriene	No modifier therapy class found; mapped to leukotriene concept as nearest proxy.
Anti-IgE Therapy	1	respiratory tract agent therapy	NEAR_MATCH	NCIT:C29299	Omalizumab	search:Anti-IgE Therapy;search:Anti-IgE;search:Omalizumab	Mapped anti-IgE therapy phrasing to canonical anti-IgE agent omalizumab.
Short-acting Beta Agonist	1	respiratory tract agent therapy	NEAR_MATCH	NCIT:C48149	Beta-Adrenergic Agonist	search:Short-acting Beta Agonist;search:Beta Agonist;search:Beta-Adrenergic Agonist	Duration qualifier absent in NCIT class; mapped to beta-adrenergic agonist.
Rate Control	1	pharmacotherapy	NO_MATCH			search:Rate Control;search:Heart Rate Control;search:Rate-Control Strategy	No clear NCIT treatment concept found for rate-control strategy wording.
Rhythm Control	1	pharmacotherapy	NO_MATCH			search:Rhythm Control;search:Rhythm-Control Strategy;search:Cardiac Rhythm Control;info:l~Rhythm Control	No clear NCIT treatment concept found for rhythm-control strategy phrasing.
Catheter Ablation	1	radiofrequency ablation therapy	NEAR_MATCH	NCIT:C20985	Ablation Therapy	search:Catheter Ablation;search:Ablation Therapy	Catheter qualifier not represented; mapped to ablation therapy concept.
Antifungal Therapy	1	pharmacotherapy	MATCH	NCIT:C15704	Antifungal Therapy	search:Antifungal Therapy	Exact label match.
Low Carbohydrate Diet	1	dietary intervention	NEAR_MATCH	NCIT:C15447	Dietary Intervention	search:Low Carbohydrate Diet;search:Low-Carbohydrate Diet;search:Dietary Intervention;info:l~Low Carbohydrate Diet	No specific low-carb diet concept; mapped to dietary intervention.
Fecal Microbiota Transplantation	1	fecal microbiota transplantation	MATCH	NCIT:C118643	Fecal Microbiota Transplantation	search:Fecal Microbiota Transplantation;info:l~Fecal microbiota transplantation	Exact label match.
Glaucoma Pharmacotherapy	1	pharmacotherapy	NO_MATCH			search:Glaucoma Pharmacotherapy;search:Glaucoma Medical Therapy;search:Glaucoma;info:l~Glaucoma Pharmacotherapy	Only disease concepts returned; no clear pharmacotherapy action concept.
Glaucoma Surgery	1	surgical procedure	NO_MATCH			search:Glaucoma Surgery;search:Trabeculectomy;info:l~Glaucoma Surgery	No surgical concept returned in this NCIT release for this phrasing.
Dental Management	1	surgical procedure	NEAR_MATCH	NCIT:C203584	Dental Care	search:Dental Management;search:Dental Care;search:Dental Procedure;info:l~Dental Management	Mapped management phrasing to dental care concept.
Dabrafenib Plus Trametinib	1	pharmacotherapy	NO_MATCH			propagated_case_variant_from:Dabrafenib plus Trametinib	Case/format variant of an already manually curated label.
Encorafenib plus Cetuximab	1	pharmacotherapy	NO_MATCH			search:Encorafenib plus Cetuximab;search:Encorafenib Cetuximab;search:Encorafenib;search:Cetuximab;info:l~Encorafenib plus Cetuximab	No single combination concept; component drugs found (C98283/C1723).
Encorafenib plus Cetuximab plus Binimetinib	1	pharmacotherapy	NO_MATCH			search:Encorafenib plus Cetuximab plus Binimetinib;search:Encorafenib Cetuximab Binimetinib;search:Encorafenib;search:Cetuximab;search:Binimetinib;info:l~Encorafenib plus Cetuximab plus Binimetinib	No single triple-combination concept; only component drugs found.
FOLFOXIRI plus Bevacizumab	1	chemotherapy	NEAR_MATCH	NCIT:C136252	FOLFOXIRI Regimen	search:FOLFOXIRI plus Bevacizumab;search:FOLFOXIRI;search:Bevacizumab;info:l~FOLFOXIRI plus Bevacizumab	No explicit FOLFOXIRI+bevacizumab combo concept; mapped to core regimen concept.
Dabrafenib Monotherapy	1	pharmacotherapy	NEAR_MATCH	NCIT:C82386	Dabrafenib	search:Dabrafenib Monotherapy;search:Dabrafenib;info:l~Dabrafenib Monotherapy	Monotherapy qualifier absent; mapped to dabrafenib concept.
Vemurafenib plus Cobimetinib	1	pharmacotherapy	NO_MATCH			search:Vemurafenib plus Cobimetinib;search:Vemurafenib Cobimetinib;search:Vemurafenib;search:Cobimetinib;info:l~Vemurafenib plus Cobimetinib	No single combination concept; component drugs found (C64768/C68923).
Olaparib	1	pharmacotherapy	MATCH	NCIT:C71721	Olaparib	search:Olaparib	Exact label match.
Rucaparib	1	pharmacotherapy	MATCH	NCIT:C137800	Rucaparib	search:Rucaparib	Exact label match.
Androgen Deprivation Therapy	1	pharmacotherapy	NEAR_MATCH	NCIT:C15481	Antiandrogen Therapy	search:Androgen Deprivation Therapy;search:Antiandrogen Therapy;info:l~Androgen Deprivation Therapy	Mapped ADT phrasing to antiandrogen therapy concept.
Empiric Antibiotic Therapy	1	pharmacotherapy	NEAR_MATCH	NCIT:C15620	Antibiotic Therapy	search:Empiric Antibiotic Therapy;search:Empirical Antibiotic Therapy;search:Antibiotic Therapy;info:l~Empiric Antibiotic Therapy	Empiric qualifier absent in NCIT; mapped to antibiotic therapy.
Targeted Antibiotic Therapy	1	pharmacotherapy	NEAR_MATCH	NCIT:C15620	Antibiotic Therapy	search:Targeted Antibiotic Therapy;search:Directed Antibiotic Therapy;search:Antibiotic Therapy;info:l~Targeted Antibiotic Therapy	Targeted qualifier absent; mapped to antibiotic therapy.
Dexamethasone	1	pharmacotherapy	MATCH	NCIT:C422	Dexamethasone	search:Dexamethasone	Exact label match.
Dietary and Lifestyle Modifications	1	dietary intervention	NEAR_MATCH	NCIT:C15447	Dietary Intervention	search:Dietary and Lifestyle Modifications;search:Dietary Intervention;search:Lifestyle Therapy	Composite phrase mapped to closest dietary intervention concept.
Setmelanotide	1	pharmacotherapy	MATCH	NCIT:C152349	Setmelanotide	search:Setmelanotide	Exact label match.
Penicillin therapy	1	pharmacotherapy	PENDING				
Prednisone and Azathioprine	1	corticosteroid agent therapy	PENDING				
Mycophenolate Mofetil or Azathioprine	1	pharmacotherapy	PENDING				
Pirfenidone	1	pharmacotherapy	PENDING				
Nintedanib	1	pharmacotherapy	PENDING				
Botulinum Antitoxin	1	pharmacotherapy	PENDING				
Conservative Management	1	supportive care	PENDING				
Vaccinations	1	vaccination	PENDING				
Intensive Chemotherapy	1	chemotherapy	PENDING				
Tumor Lysis Syndrome Prophylaxis	1	supportive care	PENDING				
Antimycobacterial therapy	1	pharmacotherapy	PENDING				
Seizure Management	1	pharmacotherapy	PENDING				
Dermatologic Care	1	pharmacotherapy	PENDING				
Supportive Developmental Therapies	1	supportive care	PENDING				
Behavioral Management	1	pharmacotherapy	PENDING				
Serial Splinting	1	occupational therapy	PENDING				
Surgical Release	1	surgical procedure	PENDING				
Cardiac Management	1	surgical procedure	PENDING				
Cone Biopsy/LEEP	1	surgical procedure	PENDING				
Radical Hysterectomy	1	surgical procedure	PENDING				
Chemoradiation	1	radiation therapy	PENDING				
Benznidazole or nifurtimox therapy	1	pharmacotherapy	PENDING				
Symptomatic management	1	supportive care	MATCH	NCIT:C170740	Symptomatic Therapy	propagated_case_variant_from:Symptomatic Management	Case/format variant of an already manually curated label.
Oral Rehydration Solution (ORS)	1	hydrotherapy	PENDING				
Intravenous Rehydration	1	hydrotherapy	PENDING				
Antibiotics	1	pharmacotherapy	PENDING				
Zinc Supplementation	1	nutritional supplementation	PENDING				
Venetoclax plus Obinutuzumab	1	pharmacotherapy	PENDING				
Chemoimmunotherapy (FCR)	1	chemotherapy	PENDING				
Watch and Wait	1	surveillance for malignancies	PENDING				
Smoking Cessation	1	behavioral counseling	PENDING				
Phosphodiesterase-4 Inhibitors	1	pharmacotherapy	PENDING				
Pulmonary Rehabilitation	1	physical therapy	PENDING				
Lung Volume Reduction Surgery	1	surgical procedure	PENDING				
Mucolytic Therapy	1	pharmacotherapy	PENDING				
Macrolide Antibiotics	1	pharmacotherapy	PENDING				
Biologic Therapies	1	pharmacotherapy	PENDING				
Nephrectomy	1	surgical procedure	PENDING				
VEGFR Tyrosine Kinase Inhibitors	1	pharmacotherapy	PENDING				
Wide Surgical Resection	1	surgical procedure	PENDING				
Sentinel Lymph Node Biopsy	1	surgical procedure	PENDING				
Vancomycin	1	pharmacotherapy	PENDING				
Fidaxomicin	1	pharmacotherapy	PENDING				
Fecal microbiota transplantation	1	fecal microbiota transplantation	MATCH	NCIT:C118643	Fecal Microbiota Transplantation	propagated_case_variant_from:Fecal Microbiota Transplantation	Case/format variant of an already manually curated label.
Bezlotoxumab	1	pharmacotherapy	PENDING				
Loop ileostomy with colonic lavage	1	surgical procedure	PENDING				
Corticosteroids (Budesonide)	1	topical corticosteroid therapy	PENDING				
Thiopurines (Azathioprine/6-Thioguanine)	1	pharmacotherapy	PENDING				
Anti-TNF-α Therapy	1	pharmacotherapy	PENDING				
Calcineurin Inhibitors (Tacrolimus)	1	pharmacotherapy	PENDING				
Medication discontinuation (Olmesartan withdrawal)	1	supportive care	PENDING				
Nutritional support and supplementation	1	nutritional supplementation	PENDING				
Intensive Chemotherapy (7+3) with High-Dose Cytarabine Consolidation	1	chemotherapy	PENDING				
Gemtuzumab Ozogamicin	1	pharmacotherapy	PENDING				
Cardiac Monitoring	1	diagnostic procedure	PENDING				
Tumor Surveillance	1	cancer screening	PENDING				
Aminosalicylates	1	pharmacotherapy	PENDING				
Immunomodulators	1	pharmacotherapy	PENDING				
Nutritional Therapy	1	dietary intervention	PENDING				
Anti-IL-23 Biologics	1	pharmacotherapy	PENDING				
TL1A Inhibitors	1	pharmacotherapy	PENDING				
JAK Inhibitors	1	pharmacotherapy	PENDING				
Immunosuppressive agents	1	pharmacotherapy	PENDING				
Medical Therapy	1	pharmacotherapy	PENDING				
Bilateral Adrenalectomy	1	adrenalectomy	PENDING				
Benzimidazole chemotherapy	1	pharmacotherapy	PENDING				
Surgical and percutaneous approaches	1	surgical procedure	PENDING				
Heart transplantation	1	transplantation procedure	PENDING				
Gene therapy (AAV9.LAMP2B)	1	gene therapy	PENDING				
Wide Local Excision	1	surgical procedure	PENDING				
Imatinib Targeted Therapy	1	pharmacotherapy	PENDING				
Cytoreductive Surgery	1	surgical procedure	PENDING				
Endoscopic Mechanical Hemostasis	1	supportive care	PENDING				
Angiographic Embolization	1	supportive care	PENDING				
Surgical Ligation or Wedge Resection	1	surgical procedure	PENDING				
R-CHOP Immunochemotherapy	1	chemotherapy	PENDING				
Polatuzumab Vedotin plus R-CHP	1	pharmacotherapy	PENDING				
Intensive Chemotherapy for Double-Hit Lymphoma	1	chemotherapy	PENDING				
Autologous Stem Cell Transplantation	1	hematopoietic stem cell transplantation	PENDING				
Early Intervention Programs	1	behavioral counseling	PENDING				
Hormone Replacement Therapy	1	hormone modifying therapy	PENDING				
Antiepileptic Medications	1	pharmacotherapy	PENDING				
Ketogenic Diet	1	dietary intervention	PENDING				
Supportive Therapies	1	supportive care	PENDING				
Vagus Nerve Stimulation (VNS)	1	surgical procedure	PENDING				
Antisense Oligonucleotide Therapy (STK-001/Zorevunersen)	1	gene therapy	PENDING				
AAV Gene Therapy (ETX101)	1	gene therapy	PENDING				
Cannabidiol	1	pharmacotherapy	PENDING				
Fenfluramine	1	pharmacotherapy	PENDING				
Stiripentol	1	pharmacotherapy	PENDING				
Osimertinib	1	pharmacotherapy	PENDING				
Erlotinib	1	pharmacotherapy	PENDING				
Gefitinib	1	pharmacotherapy	PENDING				
Amivantamab	1	pharmacotherapy	PENDING				
Aromatase Inhibitors	1	pharmacotherapy	PENDING				
Tamoxifen	1	pharmacotherapy	PENDING				
CDK4/6 Inhibitors	1	pharmacotherapy	PENDING				
Fulvestrant	1	pharmacotherapy	PENDING				
Elacestrant	1	pharmacotherapy	PENDING				
Experimental Therapies	1	antiviral agent therapy	PENDING				
Wound Care	1	supportive care	PENDING				
Gastrointestinal Management	1	gastrointestinal agent therapy	PENDING				
Adjuvant Chemotherapy	1	chemotherapy	PENDING				
Pemigatinib	1	pharmacotherapy	PENDING				
Futibatinib	1	pharmacotherapy	PENDING				
Infigratinib	1	pharmacotherapy	PENDING				
Erdafitinib	1	pharmacotherapy	PENDING				
Family support intervention	1	behavioral counseling	PENDING				
Midostaurin	1	pharmacotherapy	PENDING				
Gilteritinib	1	pharmacotherapy	PENDING				
Enzyme replacement therapy	1	enzyme replacement or supplementation therapy	PENDING				
Pharmacological chaperone therapy	1	pharmacotherapy	PENDING				
Gene therapy	1	gene therapy	MATCH	NCIT:C15238	Gene Therapy	propagated_case_variant_from:Gene Therapy	Case/format variant of an already manually curated label.
Prophylactic Colectomy	1	surgical procedure	PENDING				
Endoscopic Surveillance	1	colonoscopy	PENDING				
Colchicine	1	pharmacotherapy	PENDING				
Anti-IL-1 Therapy	1	pharmacotherapy	PENDING				
NSAIDs	1	pharmacotherapy	PENDING				
Hematopoietic Stem Cell Transplantation (HSCT)	1	hematopoietic stem cell transplantation	PENDING				
Androgen Therapy	1	hormone modifying therapy	PENDING				
Cancer Surveillance	1	cancer screening	PENDING				
Palovarotene	1	pharmacotherapy	PENDING				
Garetosmab	1	pharmacotherapy	PENDING				
Duloxetine	1	pharmacotherapy	PENDING				
Milnacipran	1	pharmacotherapy	PENDING				
Pregabalin	1	pharmacotherapy	PENDING				
Gabapentin	1	pharmacotherapy	PENDING				
Amitriptyline	1	pharmacotherapy	PENDING				
Aerobic Exercise	1	physical therapy	PENDING				
Cognitive Behavioral Therapy	1	behavioral counseling	PENDING				
Sleep Hygiene Education	1	behavioral counseling	PENDING				
Mindfulness-Based Stress Reduction	1	cognitive and behavioral intervention	PENDING				
Aquatic Therapy	1	physical therapy	PENDING				
H. pylori Eradication	1	pharmacotherapy	PENDING				
Perioperative Chemotherapy	1	chemotherapy	PENDING				
Avapritinib	1	pharmacotherapy	PENDING				
Tumor Treating Fields (TTFields)	1	cranial electrical stimulation	PENDING				
Bevacizumab	1	pharmacotherapy	PENDING				
Avoidance of Oxidative Stressors	1	medical action avoidance	PENDING				
Supportive Care During Acute Hemolysis	1	blood transfusion	PENDING				
Laser Ablation Therapy	1	laser ablation therapy	PENDING				
Sun Avoidance	1	sunlight avoidance	PENDING				
Antithrombotic Therapy	1	pharmacotherapy	PENDING				
Cardiovascular Management	1	pharmacotherapy	PENDING				
Neurosurgical Intervention	1	surgical procedure	PENDING				
Surgical Correction of Acral Features	1	surgical procedure	PENDING				
Antithyroid Medications	1	pharmacotherapy	PENDING				
Radioactive Iodine Therapy	1	hormone modifying therapy	PENDING				
ONC201 (DRD2 Antagonist)	1	pharmacotherapy	PENDING				
Pertuzumab	1	pharmacotherapy	PENDING				
Tucatinib	1	pharmacotherapy	PENDING				
Neratinib	1	pharmacotherapy	PENDING				
Trastuzumab plus Lapatinib	1	pharmacotherapy	PENDING				
Trastuzumab plus Pertuzumab	1	pharmacotherapy	PENDING				
Tucatinib plus Trastuzumab	1	pharmacotherapy	PENDING				
Trastuzumab plus Chemotherapy	1	pharmacotherapy	PENDING				
Trastuzumab plus Pembrolizumab plus Chemotherapy	1	pharmacotherapy	PENDING				
Ramucirumab plus Paclitaxel	1	pharmacotherapy	PENDING				
Respiratory Support	1	supportive care	PENDING				
Anticonvulsant Therapy	1	pharmacotherapy	PENDING				
Ophthalmologic Management	1	supportive care	PENDING				
Cetuximab	1	pharmacotherapy	PENDING				
Transoral Robotic Surgery	1	surgical procedure	PENDING				
Iron Chelation Therapy	1	pharmacotherapy	PENDING				
Dietary Modification	1	dietary intervention	MATCH	NCIT:C15447	Dietary Intervention	propagated_case_variant_from:Dietary modification	Case/format variant of an already manually curated label.
Screening of Family Members	1	genetic counseling	PENDING				
Factor IX Replacement	1	pharmacotherapy	PENDING				
Prophylactic Factor IX Replacement	1	pharmacotherapy	PENDING				
Antiviral Medications	1	pharmacotherapy	PENDING				
Interferon Therapy	1	pharmacotherapy	PENDING				
Direct-Acting Antivirals (DAAs)	1	pharmacotherapy	PENDING				
Hepatocellular Carcinoma Surveillance	1	surveillance for malignancies	PENDING				
Atezolizumab plus Bevacizumab	1	pharmacotherapy	PENDING				
Durvalumab plus Tremelimumab	1	pharmacotherapy	PENDING				
Sorafenib	1	pharmacotherapy	PENDING				
Lenvatinib	1	pharmacotherapy	PENDING				
Transarterial Chemoembolization (TACE)	1	chemotherapy	PENDING				
Radiofrequency/Microwave Ablation	1	ablation therapy	PENDING				
Risk-Reducing Salpingo-Oophorectomy	1	surgical procedure	PENDING				
Enhanced Surveillance	1	cancer screening	PENDING				
Desmopressin	1	pharmacotherapy	PENDING				
von Willebrand Factor/Factor VIII Concentrates	1	pharmacotherapy	PENDING				
Pull-Through Procedure	1	surgical procedure	PENDING				
Ostomy	1	surgical procedure	PENDING				
Cardiac monitoring and evaluation	1	clinical cardiac electrophysiologist evaluation	PENDING				
Surgical repair of cardiac defects	1	surgical procedure	PENDING				
Fexinidazole therapy	1	pharmacotherapy	PENDING				
Tetrabenazine	1	pharmacotherapy	PENDING				
Selective Serotonin Reuptake Inhibitors (SSRIs)	1	pharmacotherapy	PENDING				
ACE Inhibitors or ARBs	1	ACE inhibitor therapy	PENDING				
Diuretics	1	pharmacotherapy	PENDING				
Mineralocorticoid Receptor Antagonists	1	pharmacotherapy	PENDING				
Calcium Channel Blockers	1	calcium channel blocking agent therapy	PENDING				
Septal Myectomy	1	surgical procedure	PENDING				
Alcohol Septal Ablation	1	surgical procedure	PENDING				
Implantable Cardioverter Defibrillator (ICD)	1	surgical procedure	PENDING				
Enasidenib	1	pharmacotherapy	PENDING				
Vorasidenib (IDH1/2 Inhibitor)	1	pharmacotherapy	PENDING				
PCV Chemotherapy	1	chemotherapy	PENDING				
Antimicrobial Therapy	1	pharmacotherapy	PENDING				
Foot Surgery	1	surgical procedure	PENDING				
Valproic Acid	1	pharmacotherapy	PENDING				
Ethosuximide	1	pharmacotherapy	PENDING				
Levetiracetam	1	pharmacotherapy	PENDING				
Avoidance of Provocative Stimuli	1	medical action avoidance	PENDING				
Avoidance of Triggering Stimuli	1	medical action avoidance	PENDING				
Sunglasses or Blue Light Filtering Glasses	1	supportive care	PENDING				
Sotorasib	1	pharmacotherapy	PENDING				
Adagrasib	1	pharmacotherapy	PENDING				
KRAS G12C Inhibitor Combinations	1	pharmacotherapy	PENDING				
Local Therapy	1	radiation therapy	PENDING				
Reduction of Immunosuppression	1	pharmacotherapy	PENDING				
Anakinra	1	pharmacotherapy	PENDING				
Cyclosporine	1	pharmacotherapy	PENDING				
