cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease
83,chronic kidney disease,downstream_Stim8hr,1.6069271918125054,0.31680633027215227,5.068396765593238,0.3015453096006922,0.3417513508807845,100,3.0,97.0,60.0,3118.0,"['ZEB2', 'PTPN22', 'PHTF2']",True
82,inflammatory bowel disease,downstream_Stim8hr,1.4878234323848707,0.5163612145407613,3.516927088933771,0.24174070962111033,0.34246600529657295,57,6.0,51.0,236.0,2985.0,"['IL2RA', 'TNFAIP3', 'NCF4', 'CD40LG', 'ERN1', 'IFNG']",False
35,asthma,downstream_Stim48hr,1.4485315100681768,0.6616008479845223,2.8444979370420005,0.181624073814179,0.3430676949823381,100,10.0,90.0,207.0,2699.0,"['RORA', 'NR1D1', 'FCGRT', 'PTPRK', 'RORC', 'HDAC3', 'FADS2', 'GALNT2', 'FADS1', 'NR1D2']",False
88,type 1 diabetes mellitus,downstream_Stim48hr,1.5403023381264007,0.47797021878664087,3.8495486146194526,0.2441842558991834,0.3459276958571765,100,5.0,95.0,96.0,2810.0,"['SLC1A5', 'CD6', 'CD226', 'FADS2', 'IL2']",False
88,psoriasis,downstream_Stim48hr,1.5078678577266926,0.52882072235466,3.5068089435401624,0.2291311355932971,0.3459276958571765,100,6.0,94.0,118.0,2788.0,"['STAT3', 'CD6', 'IL13', 'IL2', 'SATB1', 'PSMG1']",False
88,coronary artery disease,downstream_Stim48hr,1.3748132585791464,0.5998906830130912,2.7824291296632855,0.23518649087679114,0.3459276958571765,100,9.0,91.0,195.0,2711.0,"['CDKN1A', 'MCL1', 'OSM', 'HOPX', 'FADS2', 'ACSS2', 'KDM4B', 'CXCR4', 'PSMG1']",True
88,ankylosing spondylitis,downstream_Stim48hr,1.5078678577266926,0.52882072235466,3.5068089435401624,0.2291311355932971,0.3459276958571765,100,6.0,94.0,118.0,2788.0,"['STAT3', 'CD6', 'ZMAT3', 'IL2', 'SATB1', 'PSMG1']",False
59,coronary artery disease,downstream_Stim8hr,1.2384903870245123,0.5417577588386395,2.4982434677740266,0.3258204652173432,0.34618424429342715,100,9.0,91.0,235.0,2943.0,"['CAPN2', 'PAFAH1B1', 'ASXL1', 'RASGRP1', 'FOSL2', 'NPEPPS', 'CXCR4', 'NFS1', 'NCALD']",True
111,inflammatory bowel disease,downstream_Stim8hr,1.3947794976436447,0.6382951128312716,2.731929629379883,0.20879884197196782,0.34719373243337087,101,10.0,91.0,232.0,2945.0,"['IL2RA', 'IRF4', 'HIF1A', 'REL', 'PEAK1', 'EGR2', 'DNMT3A', 'NFKBIA', 'TNFRSF1A', 'JUND']",False
111,Hashimoto's thyroiditis,downstream_Stim8hr,1.6380736861262706,0.4268246608883407,4.501768415940495,0.24507792877649712,0.34719373243337087,101,4.0,97.0,78.0,3099.0,"['IRF4', 'JUND', 'IL2RA', 'SLA']",False
111,ulcerative colitis,downstream_Stim8hr,1.5418171113519248,0.5414851277163786,3.5785172660251385,0.21488270870868167,0.34719373243337087,101,6.0,95.0,125.0,3052.0,"['IL2RA', 'REL', 'EGR2', 'DNMT3A', 'NFKBIA', 'TNFRSF1A']",False
111,type 1 diabetes mellitus,downstream_Stim8hr,1.5859471083215388,0.4928041466636616,3.9555415732694597,0.2267970041762478,0.34719373243337087,101,5.0,96.0,101.0,3076.0,"['RGS1', 'IL2RA', 'LPCAT1', 'IRF4', 'EGR2']",False
59,systemic lupus erythematosus,downstream_Stim48hr,1.3128361100135666,0.4086435542224547,3.2658986257432354,0.34915232554154313,0.34915232554154313,100,5.0,95.0,112.0,2794.0,"['RYBP', 'LYST', 'CTLA4', 'BCL2L11', 'ADAM15']",False
80,atopic eczema,downstream_Stim48hr,1.5724875541926937,0.40924098721152136,4.329768725820572,0.26749348337297135,0.34979917056465487,100,4.0,96.0,75.0,2831.0,"['IL4', 'CSF2', 'TBX21', 'IL3']",False
100,systemic lupus erythematosus,downstream_Stim48hr,1.9126490481579201,0.731030219120682,4.234457995423466,0.09207013339408102,0.3500992894930089,100,7.0,93.0,110.0,2796.0,"['TRAF1', 'RYBP', 'LYST', 'ETS1', 'CD226', 'HIVEP3', 'ANXA6']",False
100,asthma,downstream_Stim48hr,1.619626174101654,0.7680171636907978,3.10262765281196,0.10297037926264968,0.3500992894930089,100,11.0,89.0,206.0,2700.0,"['TRAF1', 'SLC7A5', 'NAB2', 'VIM', 'RYBP', 'ETS1', 'CD226', 'FADS2', 'GALNT2', 'POU2AF1', 'STAT5A']",False
38,type 1 diabetes mellitus,downstream_Rest,1.4128240494454891,0.36824633344716695,3.880785190499872,0.33030812856563024,0.35095238660098216,100,4.0,96.0,80.0,2713.0,"['CTSH', 'DIPK1A', 'PTGER4', 'CD6']",False
46,ankylosing spondylitis,downstream_Rest,2.551682942918309,1.0387003125924088,5.455326822585427,0.020713832131459026,0.35213514623480346,100,8.0,92.0,92.0,2701.0,"['RUNX3', 'XPA', 'BACH2', 'ABTB3', 'CA11', 'KDM4C', 'SATB1', 'MYCBP2']",False
85,age-related macular degeneration,downstream_Stim8hr,1.8322027651173127,0.21056111034732897,7.308903456651946,0.3123899709289001,0.3540419670527534,100,2.0,98.0,35.0,3143.0,"['AFF1', 'MAP3K1']",True
85,chronic kidney disease,downstream_Stim8hr,1.6069271918125054,0.31680633027215227,5.068396765593238,0.3015453096006922,0.3540419670527534,100,3.0,97.0,60.0,3118.0,"['MYH9', 'GATA3', 'MAP3K1']",True
82,psoriasis,downstream_Stim48hr,1.5078678577266926,0.52882072235466,3.5068089435401624,0.2291311355932971,0.35411175500782277,100,6.0,94.0,118.0,2788.0,"['IL2RA', 'TNIP3', 'CD6', 'CSF2', 'GCA', 'GATA3']",False
82,ankylosing spondylitis,downstream_Stim48hr,1.5078678577266926,0.52882072235466,3.5068089435401624,0.2291311355932971,0.35411175500782277,100,6.0,94.0,118.0,2788.0,"['THYN1', 'IL2RA', 'PHLDA1', 'CD6', 'PSMB9', 'GRAMD1B']",False
21,chronic kidney disease,regulators,1.8037590287797178,0.5432490450312086,4.722199265837373,0.17198584650254914,0.3544620595940895,135,5.0,130.0,36.0,1689.0,"['CALCOCO2', 'LRIG1', 'THAP12', 'SOS2', 'RREB1']",True
21,ankylosing spondylitis,regulators,1.5713371396901226,0.5927885068345912,3.544855976144842,0.18765638449098856,0.3544620595940895,135,7.0,128.0,58.0,1667.0,"['RAVER1', 'XPR1', 'IKZF1', 'UBE2E2', 'CD2', 'LRBA', 'CD28']",False
25,asthma,downstream_Stim8hr,1.2415492492092446,0.5134298051274918,2.5976664189278367,0.33706018603135346,0.35812644765831303,100,8.0,92.0,208.0,2970.0,"['SMAD2', 'COMMD9', 'STAT5B', 'TGFBR1', 'SMAD3', 'IL7R', 'ALG2', 'GATA3']",False
99,rheumatoid arthritis,regulators,1.5105107330005283,0.8413728803282814,2.5786237237458827,0.0844786420305653,0.3590342286299026,195,18.0,177.0,105.0,1560.0,"['MEN1', 'TESPA1', 'PTPRC', 'RAVER1', 'RAD51B', 'PRKCQ', 'IRF4', 'MALT1', 'FOXO1', 'SRSF11', 'ZRANB2', 'TNRC6A', 'CD2', 'COG6', 'IL12RB2', 'ADAT2', 'CD28', 'MAF']",False
99,asthma,regulators,1.4843945021629867,0.8530796249913389,2.4706987600761767,0.08199402994433218,0.3590342286299026,195,20.0,175.0,119.0,1546.0,"['PTPRC', 'RAD51B', 'SIK3', 'CD247', 'HTT', 'PDCD5', 'STAT5A', 'ITK', 'ZNF703', 'FOXO1', 'PKN3', 'ICE2', 'FIGNL1', 'TESPA1', 'TBX21', 'PRKCQ', 'IRF4', 'COG6', 'CD28', 'KAT6A']",False
93,autoimmune disease,regulators,4.474182949932069,0.8289994184437083,24.147858906757218,0.042306716916423716,0.3596070937896016,8,4.0,4.0,338.0,1514.0,"['ARHGAP27', 'USO1', 'FITM2', 'LRBA']",False
94,chronic kidney disease,downstream_Stim8hr,1.6969328829301211,0.3342496817655187,5.360295879323272,0.2750376980289447,0.35966468203785074,95,3.0,92.0,60.0,3123.0,"['SEC61A1', 'CCND2', 'DPP4']",True
98,age-related macular degeneration,downstream_Rest,2.456685368701544,0.2769424869009255,10.177189121983075,0.2132332140563599,0.3624964638958118,100,2.0,98.0,23.0,2770.0,"['TNFRSF10A', 'CX3CR1']",True
64,psoriasis,downstream_Stim8hr,1.5458508283962296,0.5428423514955485,3.588465923534612,0.21335218473530745,0.3626987140500227,100,6.0,94.0,126.0,3052.0,"['IL10', 'PTGER4', 'PTPN22', 'TNFAIP3', 'KIF11', 'UBLCP1']",False
51,autoimmune disease,downstream_Stim48hr,1.4180119825861355,0.8620688670349878,2.26776472531555,0.08633163894010958,0.3657939608699701,100,26.0,74.0,577.0,2329.0,"['PMAIP1', 'SNRPC', 'MICOS10', 'STAT3', 'KLF12', 'ERAP1', 'PCMTD1', 'FYB1', 'DDX6', 'CEP57', 'CISD1', 'CLEC2D', 'PPM1G', 'ICAM3', 'IFITM2', 'SKAP1', 'ST3GAL1', 'LNPEP', 'PATJ', 'ITGAL', 'TUFM', 'MAPK1', 'MCL1', 'CD37', 'TOMM22', 'ADA2']",False
51,multiple sclerosis,downstream_Stim48hr,2.2263203187528013,0.8479716096831901,4.953046048364402,0.05110379258743102,0.3657939608699701,100,7.0,93.0,95.0,2811.0,"['PATJ', 'CEP57', 'MAPK1', 'CD37', 'CLEC2D', 'MICOS10', 'STAT3']",False
51,inflammatory bowel disease,downstream_Stim48hr,1.5714266987343464,0.7706780147492875,2.9398237554667355,0.10758645907940298,0.3657939608699701,100,12.0,88.0,232.0,2674.0,"['ERAP1', 'PMAIP1', 'FYB1', 'PPM1G', 'LNPEP', 'SKAP1', 'ITGAL', 'TUFM', 'MCL1', 'CISD1', 'SNRPC', 'STAT3']",False
51,ulcerative colitis,downstream_Stim48hr,1.7983809925726324,0.7385249657986698,3.7986512863182984,0.09745320845585144,0.3657939608699701,100,8.0,92.0,134.0,2772.0,"['ERAP1', 'PMAIP1', 'FYB1', 'ITGAL', 'TUFM', 'CISD1', 'SNRPC', 'STAT3']",False
35,multiple sclerosis,regulators,1.9074622613421959,0.2166884830952992,7.769887299429842,0.2995323424515987,0.3667187547353869,37,2.0,35.0,53.0,1770.0,"['SLAMF7', 'TM2D1']",False
35,coronary artery disease,regulators,1.5031758193097795,0.3812765246578373,4.317362526151027,0.3020036803703186,0.3667187547353869,37,4.0,33.0,136.0,1687.0,"['ADAM19', 'RASGRP1', 'ZNF641', 'SMAD3']",True
44,autoimmune disease,downstream_Rest,1.243293030673884,0.7373621713384515,2.0248435969451375,0.21716407144775754,0.3691789214611878,100,23.0,77.0,541.0,2252.0,"['PRKCB', 'BCL2L11', 'GPR18', 'CD247', 'RNASET2', 'CYLD', 'TSPAN18', 'SPNS3', 'SLC12A7', 'B3GNT2', 'IDUA', 'CTSW', 'ADGRG5', 'ANXA4', 'MX1', 'ERN1', 'PRDX6', 'CD244', 'TNFRSF14', 'UBE2E1', 'PLCG2', 'NDFIP1', 'HS2ST1']",False
90,coronary artery disease,downstream_Stim8hr,1.2384903870245123,0.5417577588386395,2.4982434677740266,0.3258204652173432,0.36926319391298895,100,9.0,91.0,235.0,2943.0,"['CCNE1', 'PRKAR1A', 'COPRS', 'RDX', 'CXCL8', 'ZC3H12D', 'ODC1', 'TNIK', 'GIT1']",True
84,psoriasis,downstream_Stim8hr,1.5458508283962296,0.5428423514955485,3.588465923534612,0.21335218473530745,0.3702847788455011,100,6.0,94.0,126.0,3052.0,"['KDM5B', 'TNFAIP3', 'FAS', 'TRIB1', 'KIF11', 'BACH2']",False
84,Hashimoto's thyroiditis,downstream_Stim8hr,1.6556626719472949,0.4313217782078647,4.551527762920076,0.23959603337061836,0.3702847788455011,100,4.0,96.0,78.0,3100.0,"['SESN1', 'CD44', 'BACH2', 'AGO2']",False
84,atopic eczema,downstream_Stim8hr,1.7455160334479065,0.5413092448036656,4.366580029776611,0.17765415713047353,0.3702847788455011,100,5.0,95.0,93.0,3085.0,"['AGO2', 'TNFAIP3', 'PLK2', 'TRIB1', 'BACH2']",False
84,type 1 diabetes mellitus,downstream_Stim8hr,1.603154401834526,0.4980378797570066,3.999828115793266,0.22083789079163196,0.3702847788455011,100,5.0,95.0,101.0,3077.0,"['CD44', 'TNFAIP3', 'ANK3', 'NUDT1', 'BACH2']",False
100,celiac disease,downstream_Stim48hr,2.1590610286367173,0.5569058517675288,6.030173360355183,0.13118012149080815,0.3716770108906231,100,4.0,96.0,55.0,2851.0,"['ANKRD10', 'POU2AF1', 'ETS1', 'CCR2']",False
34,chronic kidney disease,downstream_Stim48hr,1.6644948032536124,0.3269842567560705,5.28219352686283,0.28518009897923524,0.3729278217420769,100,3.0,97.0,53.0,2853.0,"['MOB3A', 'SEC61A1', 'TET2']",True
9,type 1 diabetes mellitus,regulators,2.589486096432242,0.29151311366508337,10.726855837421523,0.1978414061952738,0.37370043392440605,34,2.0,32.0,43.0,1783.0,"['PSMB9', 'COPRS']",False
9,ulcerative colitis,regulators,2.2579276338773226,0.43207678236063596,7.494416748306304,0.16827381094944582,0.37370043392440605,34,3.0,31.0,75.0,1751.0,"['CD274', 'UBE2L3', 'TSPYL5']",False
9,rheumatoid arthritis,regulators,1.9117306125853133,0.4813877743841796,5.555684235723413,0.1833813447608021,0.37370043392440605,34,4.0,30.0,119.0,1707.0,"['SUPT20H', 'UBE2L3', 'PSMB9', 'MED13']",False
82,multiple sclerosis,downstream_Rest,1.9674066755533839,0.2249610783483565,7.9235250167678934,0.2858295192734634,0.37377706366529834,34,2.0,32.0,88.0,2771.0,"['STAT4', 'CLEC2D']",False
89,age-related macular degeneration,downstream_Stim8hr,1.8322027651173127,0.21056111034732897,7.308903456651946,0.3123899709289001,0.379330678985093,100,2.0,98.0,35.0,3143.0,"['FYB1', 'NLRC5']",True
89,type 1 diabetes mellitus,downstream_Rest,2.2208928822243466,0.7712871566437142,5.239120333985624,0.06812964091906867,0.3822098709843702,100,6.0,94.0,78.0,2715.0,"['IRF1', 'CDK1', 'PSMB9', 'IL7R', 'CCR2', 'ORMDL3']",False
89,autoimmune disease,downstream_Rest,1.637223245466845,1.0078900436708258,2.5954508841329655,0.02318375997850955,0.3822098709843702,100,28.0,72.0,536.0,2257.0,"['PLAC8', 'TRAT1', 'KIF11', 'FEN1', 'STAT1', 'IRF1', 'FMN1', 'TGFBR3', 'LSP1', 'AGPAT4', 'CD109', 'SAMHD1', 'C12orf75', 'TLR1', 'P2RY10', 'PSMB9', 'CALHM6', 'IL12RB2', 'SYNE2', 'CCR2', 'MBD2', 'NDC80', 'MKI67', 'IFI30', 'IL7R', 'SMC4', 'TYMP', 'ORMDL3']",False
89,rheumatoid arthritis,downstream_Rest,1.758051779601284,0.8603742217526689,3.297831091790113,0.06053189844129606,0.3822098709843702,100,12.0,88.0,201.0,2592.0,"['IRF1', 'MKI67', 'TLR1', 'STAT1', 'P2RY10', 'PSMB9', 'KIF11', 'IL7R', 'IL12RB2', 'SMC4', 'CCR2', 'ORMDL3']",False
89,systemic lupus erythematosus,downstream_Rest,1.9263012186206778,0.7354500321641944,4.27118335940928,0.08993173434926358,0.3822098709843702,100,7.0,93.0,105.0,2688.0,"['IRF1', 'PLAC8', 'AGPAT4', 'IL12RB2', 'IL7R', 'SMC4', 'STAT1']",False
105,multiple sclerosis,downstream_Stim48hr,1.5238882683141906,0.4729818373273357,3.807253594778801,0.25050443880914913,0.38714322361413955,100,5.0,95.0,97.0,2809.0,"['PTPRC', 'VMP1', 'CD69', 'CLEC2D', 'CXCR4']",False
22,multiple sclerosis,downstream_Stim48hr,1.5238882683141906,0.4729818373273357,3.807253594778801,0.25050443880914913,0.38714322361413955,100,5.0,95.0,97.0,2809.0,"['IL2RA', 'GSDMB', 'TIAM1', 'NLRC5', 'TYMP']",False
95,systemic lupus erythematosus,downstream_Stim8hr,1.5084328088209484,0.5299243234275492,3.499492932821045,0.228242955073346,0.3880130236246882,100,6.0,94.0,129.0,3049.0,"['IL10', 'PTGER4', 'IRF8', 'NFKB1', 'JAK2', 'BACH2']",False
91,ankylosing spondylitis,downstream_Stim8hr,1.6123355496348042,0.5657686440852194,3.746815822916278,0.18936166099215543,0.3880130236246882,100,6.0,94.0,121.0,3057.0,"['TNFAIP3', 'PHLDA1', 'FAS', 'MKI67', 'ZMAT3', 'BACH2']",False
91,atopic eczema,downstream_Stim8hr,1.7455160334479065,0.5413092448036656,4.366580029776611,0.17765415713047353,0.3880130236246882,100,5.0,95.0,93.0,3085.0,"['AGO2', 'TNFAIP3', 'PHF19', 'FOXP1', 'BACH2']",False
91,asthma,downstream_Stim8hr,1.4193185696638766,0.6198749811399422,2.8690350062485916,0.2103526612794241,0.3880130236246882,100,9.0,91.0,207.0,2971.0,"['STAT5B', 'ITK', 'TNFAIP3', 'IL5', 'FADS2', 'SESN1', 'FOXP1', 'BACH2', 'STAT5A']",False
91,systemic lupus erythematosus,downstream_Stim8hr,1.5084328088209484,0.5299243234275492,3.499492932821045,0.228242955073346,0.3880130236246882,100,6.0,94.0,129.0,3049.0,"['CD44', 'TNFAIP3', 'RRM1', 'AEN', 'SMC4', 'BACH2']",False
97,ulcerative colitis,downstream_Stim48hr,1.7001033012035565,0.4389527052148768,4.743130388542643,0.22916189843649293,0.389575227342038,52,4.0,48.0,138.0,2816.0,"['NDUFAF2', 'IRF8', 'IL2RA', 'SMYD2']",False
74,inflammatory bowel disease,downstream_Rest,1.3771113916808977,0.6539800687392364,2.6330641637559573,0.20685453544849972,0.3907252336249439,100,11.0,89.0,230.0,2563.0,"['STK24', 'FOXO1', 'IKZF1', 'ZBTB46', 'RGS14', 'ITPKB', 'NDFIP1', 'CD244', 'CTSW', 'RNASET2', 'NAB1']",False
106,inflammatory bowel disease,downstream_Stim48hr,1.4177117014272969,0.6734081237162667,2.709937289383903,0.1841231581642526,0.3912617110990368,100,11.0,89.0,233.0,2673.0,"['PTPRC', 'FYB1', 'SMAD3', 'C12orf75', 'CD6', 'MCL1', 'IFNG', 'ACTN1', 'IL2', 'SHISA2', 'STAT3']",False
93,ankylosing spondylitis,downstream_Stim8hr,1.318252507747062,0.4109816303082142,3.271595794139292,0.34558413666545074,0.3916620215541775,100,5.0,95.0,122.0,3056.0,"['IL2RA', 'TNFAIP3', 'SMAD3', 'NDFIP1', 'ADCY3']",False
93,rheumatoid arthritis,downstream_Stim8hr,1.2272084900775178,0.5368757815860536,2.4751611810524223,0.3346037503285245,0.3916620215541775,100,9.0,91.0,237.0,2941.0,"['RBM17', 'IL2RA', 'TNFAIP3', 'SMAD3', 'IRF4', 'TUFM', 'NDFIP1', 'SEPTIN9', 'ADCY3']",False
77,chronic kidney disease,downstream_Stim8hr,1.6069271918125054,0.31680633027215227,5.068396765593238,0.3015453096006922,0.3943284817855206,100,3.0,97.0,60.0,3118.0,"['PDE4D', 'CDC123', 'MAP3K1']",True
79,chronic kidney disease,downstream_Stim8hr,1.6069271918125054,0.31680633027215227,5.068396765593238,0.3015453096006922,0.3943284817855206,100,3.0,97.0,60.0,3118.0,"['SH2B3', 'TET2', 'APOL2']",True
27,rheumatoid arthritis,downstream_Stim8hr,1.5475910917710034,0.7352589391028861,2.9573936924705566,0.1262842306459478,0.3947664190574993,100,11.0,89.0,235.0,2943.0,"['PTTG1', 'IKZF1', 'IDUA', 'JAK2', 'BCL2L11', 'ARAP2', 'NUDT1', 'ADAT2', 'BIRC5', 'CD28', 'SMC4']",False
27,autoimmune disease,downstream_Stim8hr,1.3347063547071323,0.7994026220728745,2.1572888539107535,0.13932932437323506,0.3947664190574993,100,24.0,76.0,608.0,2570.0,"['TNFSF8', 'BCL2L11', 'NUDT1', 'ADAT2', 'IDUA', 'L3MBTL3', 'BIRC5', 'CIP2A', 'PTTG1', 'CD44', 'C12orf75', 'IKZF1', 'RRM1', 'FOXP1', 'HIVEP2', 'CD47', 'JAK2', 'HMGN1', 'ARAP2', 'F5', 'ETFA', 'CD28', 'TRIM22', 'SMC4']",False
79,rheumatoid arthritis,downstream_Stim48hr,1.5788161239819296,0.7742569048839115,2.953865899479247,0.10515389423376971,0.394830910067846,100,12.0,88.0,231.0,2675.0,"['LNPEP', 'HBS1L', 'HSPA9', 'SLC7A1', 'CTH', 'P2RY10', 'GPR174', 'PDE4A', 'TNFRSF14', 'CD28', 'IL18R1', 'STAT1']",False
79,autoimmune disease,downstream_Stim48hr,1.4959242200659117,0.9156771614786967,2.380589792373176,0.05452666679425787,0.394830910067846,100,27.0,73.0,576.0,2330.0,"['HBS1L', 'PLAC8', 'CTH', 'SHISA2', 'PDE4A', 'STAT1', 'ITM2A', 'IL18R1', 'NCALD', 'NDUFV2', 'MX1', 'PSAT1', 'IFITM2', 'HSPA9', 'LMNA', 'P2RY10', 'GPR174', 'TNFRSF14', 'LNPEP', 'CDKN2C', 'PTGIR', 'SLC7A1', 'MAPK1', 'LMAN1', 'CD28', 'USP18', 'PTP4A3']",False
79,ankylosing spondylitis,downstream_Stim48hr,1.793779344185478,0.6865019334384155,3.963938949362778,0.11612673825524882,0.394830910067846,100,7.0,93.0,117.0,2789.0,"['HBS1L', 'HSPA9', 'CTH', 'PDE4A', 'TNFRSF14', 'CD28', 'IL18R1']",False
79,asthma,downstream_Stim48hr,1.619626174101654,0.7680171636907978,3.10262765281196,0.10297037926264968,0.394830910067846,100,11.0,89.0,206.0,2700.0,"['NSMCE1', 'SLC7A5', 'ARHGEF3', 'HBS1L', 'OTULINL', 'RNF125', 'CREG1', 'TNFRSF14', 'CD28', 'POU2AF1', 'IL18R1']",False
36,ankylosing spondylitis,downstream_Stim8hr,1.9175933978637907,0.7343255758075661,4.234019027825878,0.09064731724264649,0.39483275602985457,100,7.0,93.0,120.0,3058.0,"['ZMYM2', 'RAVER1', 'THYN1', 'FAS', 'TNFRSF1A', 'BACH2', 'SATB1']",False
36,inflammatory bowel disease,downstream_Stim8hr,1.5765163797730068,0.7488351097057416,3.0135273810782532,0.11612728118525135,0.39483275602985457,100,11.0,89.0,231.0,2947.0,"['RAVER1', 'KCTD20', 'CIITA', 'RNF19A', 'PSAT1', 'FAS', 'RGS14', 'TNFRSF1A', 'DUSP5', 'BACH2', 'SATB1']",False
36,psoriasis,downstream_Stim8hr,1.8379202618075923,0.7043859377562294,4.05349318751725,0.10590523464830418,0.39483275602985457,100,7.0,93.0,125.0,3053.0,"['RAVER1', 'FAS', 'RGS14', 'PRKRA', 'TNFRSF1A', 'BACH2', 'SATB1']",False
44,rheumatoid arthritis,regulators,2.8520284749125735,0.30060296375485157,13.602354696733705,0.18580748314785211,0.39484090168918573,12,2.0,10.0,121.0,1727.0,"['ZMYM2', 'DAP']",False
79,coronary artery disease,downstream_Stim8hr,1.2384903870245123,0.5417577588386395,2.4982434677740266,0.3258204652173432,0.3956391363353453,100,9.0,91.0,235.0,2943.0,"['SH2B3', 'TRIB2', 'TNIP2', 'TET2', 'HOPX', 'LRBA', 'CXCL8', 'ZC3H12D', 'AEBP2']",True
67,inflammatory bowel disease,downstream_Rest,6.6642510284819325,1.0286558530241734,34.49245189461288,0.023333205862912994,0.3966644996695209,8,3.0,5.0,238.0,2647.0,"['NFKBIZ', 'LRIG2', 'GADD45G']",False
99,inflammatory bowel disease,regulators,1.3071493203555697,0.7430484214300141,2.191299776481716,0.18257169873862727,0.39726373090693173,195,19.0,176.0,127.0,1538.0,"['OSR1', 'PTPRC', 'SRSF11', 'CARMIL2', 'FOXO1', 'XRCC2', 'ICE2', 'TPGS2', 'NR4A3', 'MAX', 'DNAAF5', 'IL12RB2', 'ZAP70', 'BCL10', 'RAVER1', 'PRKCQ', 'IRF4', 'COG6', 'CD28']",False
99,psoriasis,regulators,1.4710185230209214,0.6593156297475915,2.9637466320679837,0.17920897455702445,0.39726373090693173,195,10.0,185.0,59.0,1606.0,"['FIGNL1', 'RAD51B', 'RAVER1', 'FOXO1', 'IRF4', 'CD2', 'IL12RB2', 'CD28', 'GPALPP1', 'INPP5D']",False
99,systemic lupus erythematosus,regulators,1.5715390709822534,0.73215451581118,3.0826962927465327,0.1255338679103427,0.39726373090693173,195,11.0,184.0,61.0,1604.0,"['PTPRC', 'RAD51B', 'IRF4', 'ANKRD49', 'IKBKB', 'IL12RB2', 'PDCD5', 'ADAT2', 'COG6', 'MAF', 'DOT1L']",False
99,ulcerative colitis,regulators,1.4255511242247918,0.6669809649812337,2.7801618736292646,0.18694763807385023,0.39726373090693173,195,11.0,184.0,67.0,1598.0,"['RAVER1', 'FOXO1', 'NR4A3', 'SRSF11', 'MAX', 'DNAAF5', 'IL12RB2', 'ZAP70', 'CD28', 'BCL10', 'XRCC2']",False
61,asthma,downstream_Stim8hr,1.4193185696638766,0.6198749811399422,2.8690350062485916,0.2103526612794241,0.3973328046389122,100,9.0,91.0,207.0,2971.0,"['STAT6', 'ZSWIM6', 'FOXO1', 'SPSB1', 'JAK2', 'BCL3', 'NDFIP1', 'CTSW', 'FOXP1']",False
91,coronary artery disease,downstream_Stim48hr,1.3748132585791464,0.5998906830130912,2.7824291296632855,0.23518649087679114,0.3998170344905449,100,9.0,91.0,195.0,2711.0,"['DDX17', 'CAPN2', 'DCUN1D5', 'CDKN1A', 'MCL1', 'CXCL8', 'CHAC1', 'CXCR4', 'PSMG1']",True
91,psoriasis,downstream_Stim48hr,1.5078678577266926,0.52882072235466,3.5068089435401624,0.2291311355932971,0.3998170344905449,100,6.0,94.0,118.0,2788.0,"['IKZF1', 'CD6', 'CD2', 'SBNO2', 'SATB1', 'PSMG1']",False
82,ankylosing spondylitis,downstream_Rest,1.7603940636408504,0.20159400162722746,7.070762078809693,0.3298106635854251,0.4004843772108734,34,2.0,32.0,98.0,2761.0,"['APOBR', 'JAK2']",False
10,atopic eczema,downstream_Rest,1.4694648771339636,0.38266402525350046,4.042149453054472,0.3064431516465586,0.40073335215319206,100,4.0,96.0,77.0,2716.0,"['ETS1', 'DUSP22', 'AQP3', 'LRATD2']",False
10,ankylosing spondylitis,downstream_Rest,1.4944892726487822,0.463634412715267,3.7364921476413255,0.2625904213347955,0.40073335215319206,100,5.0,95.0,95.0,2698.0,"['PHTF1', 'IKZF1', 'ETS1', 'TPP2', 'SMIM14']",False
10,ulcerative colitis,downstream_Rest,1.3622168823723524,0.4782366825865643,3.163314820907737,0.29834009085242724,0.40073335215319206,100,6.0,94.0,125.0,2668.0,"['TSPAN18', 'PHTF1', 'VSIR', 'IKZF1', 'ETS1', 'MAML2']",False
100,autoimmune disease,downstream_Stim48hr,1.26905000691321,0.7596812422648342,2.052376557184533,0.1895185214099678,0.4027268579961816,100,24.0,76.0,579.0,2327.0,"['AFAP1', 'ST6GAL1', 'PSMG1', 'STAT3', 'SPNS3', 'VSIR', 'RNF19A', 'LYST', 'TMPRSS3', 'PHGDH', 'PLEC', 'TRAF1', 'RYBP', 'C12orf75', 'PSAT1', 'GNG4', 'CD226', 'FADS2', 'JUND', 'HIVEP3', 'CCR2', 'ANXA6', 'PTGIR', 'ETS1']",False
100,rheumatoid arthritis,downstream_Stim48hr,1.424352287440833,0.6765247405741915,2.722825139343176,0.18067273320550917,0.4027268579961816,100,11.0,89.0,232.0,2674.0,"['TRAF1', 'AFAP1', 'SPNS3', 'STAT3', 'RNF19A', 'PSMG1', 'GNG4', 'ETS1', 'CD226', 'FADS2', 'CCR2']",False
67,ulcerative colitis,downstream_Rest,7.109731305665419,0.6953532813645927,40.25868352592463,0.04762731274238284,0.40483215831025415,8,2.0,6.0,129.0,2756.0,"['NFKBIZ', 'LRIG2']",False
