gene_symbol	g2p_id	g2p_disease_name	g2p_disease_mondo	g2p_confidence	g2p_mechanism	g2p_reviewed_pmid_count	dismech_candidate_count	dismech_direct_candidate_count	best_dismech_match_class	best_dismech_file	best_dismech_disease_name	best_dismech_disease_mondo	best_match_reasons	best_shared_hpo_count	best_shared_section_reviewed_pmid_count	best_shared_disease_reviewed_pmid_count	related_direct_disorders	related_direct_match_count	row_status	curation_priority	curation_action	curation_note
DLG2	G2P03568	DLG2-related neurodevelopmental disorder		limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DLG3	G2P01297	DLG3-related intellectual developmental disorder	MONDO:0010452	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DLG4	G2P01892	DLG4-related intellectual disability	MONDO:0032919	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DLG5	G2P03044	DLG5-related developmental disorder	MONDO:0958205	limited	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DLG5	G2P03045	DLG5-related developmental disorder	MONDO:0958205	limited	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DLL1	G2P02789	DLL1-related neurodevelopmental disorder with nonspecific brain abnormalities, with or without seizures	MONDO:0032877	moderate	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DLL3	G2P00233	DLL3-related spondylocostal dysostosis	MONDO:0020692	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DLL4	G2P01680	DLL4-related Adams-Oliver syndrome	MONDO:0014703	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DLX5	G2P00118	DLX5-related split-hand and foot malformation	MONDO:0009080	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DMP1	G2P00309	DMP1-related hypophosphatemic rickets	MONDO:0009430	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNA2	G2P00662	DNA2-related microcephalic primordial dwarfism with or without poikiloderma and cataracts	MONDO:0014350	limited	undetermined	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAAF11	G2P00494	DNAAF11-related primary ciliary dyskinesia	MONDO:0013979	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAAF19	G2P01230	DNAAF19-related primary ciliary dyskinesia	MONDO:0013854	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAAF3	G2P00655	DNAAF3-related primary ciliary dyskinesia	MONDO:0011718	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAAF4	G2P00454	DNAAF4-related primary ciliary dysplasia	MONDO:0014203	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAAF5	G2P01197	DNAAF5-related primary ciliary dyskinesia	MONDO:0013940	strong	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAAF6	G2P01906	DNAAF6-related primary ciliary dyskinesia with outer and inner dynein arm defects	MONDO:0010517	strong	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAH14	G2P03316	DNAH14-related neurodevelopmental disorder	MONDO:0700092	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAH9	G2P02630	DNAH9-related motile cilia defects and situs inversus	MONDO:0032664	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAJB13	G2P01870	DNAJB13-related primary ciliary dyskinesia and male infertility	MONDO:0014909	limited	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAJB4	G2P03398	DNAJB4-related myopathy with early respiratory failure	MONDO:0957224	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAJC12	G2P01908	DNAJC12-related hyperphenylalaninemia, dystonia, and intellectual disability	MONDO:0044304	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNAJC17	G2P02099	DNAJC17-related retinitis pigmentosa and hypogammaglobulinemia		limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNM1	G2P03414	DNM1-related microcephaly, developmental and epileptic encephalopathy (biallelic)	MONDO:0957248	moderate	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNM1	G2P00371	DNM1-related microcephaly, developmental and epileptic encephalopathy (monoallelic)	MONDO:0957248	strong	dominant negative	14	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNM1L	G2P02853	DNM1L-related developmental disorder	MONDO:0013726	strong	undetermined	9	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNM1L	G2P02363	DNM1L-related optic atrophy	MONDO:0012543	strong	dominant negative	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNMT3A	G2P02562	DNMT3A-related microcephalic primordial dwarfism	MONDO:0032882	strong	gain of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNMT3A	G2P00424	DNMT3A-related Tatton-Brown Rahman syndrome (overgrowth syndrome with intellectual disability)	MONDO:0014382	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DNMT3B	G2P00657	DNMT3B-related immunodeficiency-centromeric instability-facial anomalies syndrome	MONDO:0009454	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOCK2	G2P03778	DOCK2-related severe combined immunodeficiency	MONDO:0014637	strong	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOCK3	G2P03779	DOCK3-related neurodevelopmental disorder with impaired intellectual development, hypotonia, and ataxia	MONDO:0032661	moderate	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOCK4	G2P03781	DOCK4-related neurodevelopmental disorder		limited	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOCK6	G2P00046	DOCK6-related Adams-Oliver syndrome	MONDO:0013635	strong	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOCK7	G2P01335	DOCK7-related epileptic encephalopathy, early infantile	MONDO:0014371	strong	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOCK8	G2P00111	DOCK8-related hyper-IgE syndrome with recurrent infections		definitive	loss of function	23	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOHH	G2P03335	DOHH-related neurodevelopmental disorder	MONDO:0859293	moderate	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOLK	G2P00513	DOLK-related congenital disorder of glycosylation	MONDO:0012556	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DOT1L	G2P03534	DOT1L-related neurodevelopmental disorder with intracranial anomalies		moderate	gain of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DPAGT1	G2P00915	DPAGT1-related congenital disorder of glycosylation	MONDO:0011964	definitive	undetermined	7	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DPAGT1	G2P00066	DPAGT1-related myasthenic syndrome, congenital, with tubular aggregates	MONDO:0013883	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DPH5	G2P03318	DPH5-related neurodevelopmental disorder	MONDO:0859295	moderate	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DPYD	G2P02400	DPYD-related dihydropyrimidine dehydrogenase deficiency	MONDO:0010130	definitive	loss of function	0	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DPYSL5	G2P02874	DPYSL5-related developmental disorder	MONDO:0030331	strong	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DRAM2	G2P02100	DRAM2-related cone-rod dystrophy	MONDO:0014669	strong	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DRC1	G2P01567	DRC1-related primary ciliary dyskinesia	MONDO:0014123	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DRC2	G2P01565	DRC2-related primary ciliary dyskinesia	MONDO:0014215	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DRC4	G2P01683	DRC4-related primary ciliary dyskinesia	MONDO:0014750	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DRG1	G2P03756	DRG1-related neurodevelopmental disorder with microcephaly and dysmorphic facial features (Tan-Almurshedi syndrome)	MONDO:0957990	moderate	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSC2	G2P03247	DSC2-related arrhythmogenic right ventricular cardiomyopathy	MONDO:0012506	definitive	undetermined	15	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSC2	G2P03248	DSC2-related arrhythmogenic right ventricular cardiomyopathy	MONDO:0012506	definitive	undetermined	15	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSC3	G2P03657	DSC3-related hypotrichosis and recurrent skin vesicles	MONDO:0013136	moderate	undetermined	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSCAML1	G2P02390	DSCAML1-related retinitis pigmentosa	MONDO:0019200	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSE	G2P01694	DSE-related Ehlers-Danlos syndrome, musculocontractural	MONDO:0014236	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSG1	G2P02734	DSG1-related palmoplantar keratoderma, striate	MONDO:0007859	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSG1	G2P00545	DSG1-related severe dermatitis, multiple allergies and metabolic wasting		strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSG2	G2P03249	DSG2-related arrhythmogenic right ventricular cardiomyopathy	MONDO:0012434	definitive	undetermined	12	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSG2	G2P03250	DSG2-related arrhythmogenic right ventricular cardiomyopathy	MONDO:0012434	definitive	undetermined	12	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSG2	G2P03829	DSG2-related dilated cardiomyopathy	MONDO:0016333	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSG3	G2P03653	DSG3-related blistering, acantholytic, of oral and laryngeal mucosa	MONDO:0030986	moderate	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSG4	G2P02712	DSG4-related hypotrichosis, localised	MONDO:0011932	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSP	G2P03251	DSP-related arrhythmogenic right ventricular cardiomyopathy	MONDO:0011831	definitive	loss of function	18	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSP	G2P03252	DSP-related arrhythmogenic right ventricular cardiomyopathy	MONDO:0011831	definitive	loss of function	18	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSP	G2P03014	DSP-related developmental disorder	MONDO:0700092	moderate	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSP	G2P03509	DSP-related dilated cardiomyopathy	MONDO:0011581	definitive	undetermined	8	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSP	G2P03885	DSP-related hypertrophic cardiomyopathy	MONDO:0024573	disputed	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSP	G2P02735	DSP-related palmoplantar keratoderma, striate	MONDO:0013034	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSP	G2P02509	DSP-related skin fragility, woolly hair	MONDO:0011882	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSPP	G2P00519	DSPP-related deafness with dentinogenesis imperfecta	MONDO:0011571	definitive	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSPP	G2P01561	DSPP-related dentinogenesis imperfecta, Shields type	MONDO:0007441	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSTYK	G2P02594	DSTYK-related complicated spastic paraparesis	MONDO:0010046	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DSTYK	G2P00203	DSTYK-related congenital anomalies of kidney and urinary tract, CAKUT	MONDO:0012561	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DTHD1	G2P02069	DTHD1-related retinal dystrophy		limited	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DTNA	G2P03830	DTNA-related dilated cardiomyopathy	MONDO:0016333	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DVL1	G2P00201	DVL1-related Robinow syndrome	MONDO:0014591	definitive	gain of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DVL3	G2P01723	DVL3-related Robinow syndrome	MONDO:0014819	definitive	dominant negative	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DYM	G2P01531	DYM-related Dyggve-Melchior-Clausen syndrome/Smith-McCort dysplasia	MONDO:0009130	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DYNC1H1	G2P01629	DYNC1H1-related severe intellectual disability with neuronal migration disorder	MONDO:0013805	definitive	undetermined	15	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DYNC1H1	G2P00192	DYNC1H1-related spinal muscular atrophy, lower extremity-predominant		definitive	undetermined	19	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DYNC1I2	G2P02767	DYNC1I2-related neurodevelopmental disorder with microcephaly and structural brain anomalies	MONDO:0032779	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DYNC2H1	G2P00668	DYNC2H1-related short-rib thoracic dysplasia with or without polydactyly	MONDO:0013127	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DYNC2I1	G2P00593	DYNC2I1-related short-rib polydactyly	MONDO:0014214	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DYNC2I2	G2P01550	DYNC2I2-related severe asphyxiating thoracic dysplasia	MONDO:0014287	definitive	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
DYNC2LI1	G2P03232	DYNC2LI1-related short-rib polydactyly	MONDO:0014907	definitive	undetermined	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EBF3	G2P01883	EBF3-related intellectual disability, ataxia, and facial dysmorphism	MONDO:0015021	definitive	loss of function	11	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EBP	G2P00129	EBP-related chondrodysplasia punctata	MONDO:0020603	definitive	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ECHS1	G2P02827	ECHS1-related mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	MONDO:0014563	definitive	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ECM1	G2P02974	ECM1-related lipoid proteinosis	MONDO:0009530	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDA	G2P00706	EDA-related ectodermal dysplasia	MONDO:0010585	definitive	loss of function	8	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDA	G2P01337	EDA-related tooth agenesis selective	MONDO:0010741	definitive	undetermined	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDAR	G2P02418	EDAR-related hypohidrotic ectodermal dysplasia (biallelic)	MONDO:0009147	definitive	loss of function	18	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDAR	G2P02910	EDAR-related hypohidrotic ectodermal dysplasia (monoallelic)	MONDO:0009147	definitive	loss of function	12	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDEM3	G2P03189	EDEM3-related congenital disorder of glycosylation	MONDO:0030423	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDN1	G2P01149	EDN1-related auriculocondylar syndrome	MONDO:0014312	strong	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDN1	G2P02841	EDN1-related question mark ears, isolated	MONDO:0013013	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDN3	G2P02518	EDN3-related Waardenburg syndrome type IV	MONDO:0013201	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDN3	G2P03081	EDN3-related Waardenburg syndrome type IV	MONDO:0013201	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EDNRA	G2P01530	EDNRA-related mandibulofacial dysostosis with alopecia	MONDO:0014608	definitive	gain of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EED	G2P02232	EED-related Weaver-like overgrowth syndrome	MONDO:0060510	strong	undetermined	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EEF1A2	G2P01600	EEF1A2-related infantile epileptic encephalopathy	MONDO:0014625	strong	gain of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EEF1B2	G2P00612	EEF1B2-related intellectual developmental disorder	MONDO:0700092	limited	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EEF2	G2P02877	EEF2-related developmental disorder	MONDO:0700092	limited	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
EFEMP1	G2P02071	EFEMP1-related Doyne honeycomb degeneration of retina	MONDO:0007471	definitive	undetermined	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
