cosine	suggested_conforms_to	node	nearest_labelled_node
0.827	immune_checkpoint_blockade#Adaptive Immune Resistance	Chronic_Inflammatory_Demyelinating_Polyneuropathy::T Cell-Mediated Demyelination	Endometrial_Carcinoma::Adaptive Immune Resistance
0.827	neural_crest_melanocyte_deficiency#Cutaneous Hair and Iris Melanocyte Deficiency	BLOC1S1-related_Complex_Neurodevelopmental_Disorder_with_Leukodystrophy::Pigmentation organelle dysfunction	PAX3_Waardenburg_Spectrum::Cutaneous hair and iris melanocyte deficiency
0.827	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	Arrhythmogenic_Right_Ventricular_Cardiomyopathy::Fibrofatty replacement of cardiomyocytes	Dilated_Cardiomyopathy::Myocardial Fibrosis
0.827	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Juvenile_Polyposis_Syndrome::PI3K-AKT-mTOR pathway hyperactivation in juvenile polyposis of infancy	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.826	ciliopathy_dysfunction#Motile Cilia Beat Dysfunction	Bronchiectasis::Impaired Mucociliary Clearance	Primary_Ciliary_Dyskinesia::Ciliary Dysfunction
0.826	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Type_I_Diabetes::Autoimmune Destruction of Beta Cells	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.826	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Autoimmune_Hepatitis::T Cell-Mediated Hepatocyte Destruction	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.826	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Hartsfield_Syndrome::Impaired Limb Bud Patterning	Crouzon_Syndrome::FGFR2 Gain-of-Function Signaling
0.825	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Mobitz_Type_I_Atrioventricular_Block::Vagal Atrioventricular Nodal Suppression	Brugada_Syndrome::RVOT Conduction Slowing
0.825	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	MCAD_Deficiency::Secondary mitochondrial oxidative phosphorylation dysfunction	Huntington_Disease::Mitochondrial Dysfunction
0.824	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Thanatophoric_Dysplasia_Type_1::Chondrocyte apoptosis	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.824	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	FGFR_Altered_Urothelial_Carcinoma::FGFR3 Constitutive Activation	Thanatophoric_Dysplasia_Type_2::Constitutive FGFR3 kinase activation by K650E
0.824	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Classic_Familial_Adenomatous_Polyposis::PI3K/mTOR co-activation in adenomatous lesions	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.824	fame_pentanucleotide_repeat_rna_toxicity#Cortical Hyperexcitability and Seizure Susceptibility	Dysembryoplastic_Neuroepithelial_Tumor::Tumor-Associated Cortical Hyperexcitability	Pentanucleotide_Repeat_Familial_Adult_Myoclonus_Epilepsy::Cortical hyperexcitability and seizure susceptibility
0.823	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Left_Ventricular_Noncompaction::Impaired ventricular contractile function	Brugada_Syndrome::RVOT Conduction Slowing
0.823	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	CLOVES_Syndrome::Constitutive PI3K Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.823	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Hao-Fountain_syndrome::PRC1-associated chromatin dysregulation	Huntington_Disease::Transcriptional Dysregulation
0.823	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Metastatic_Gastric_Cancer::HER2 Signaling Subset	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.822	neural_crest_melanocyte_deficiency#Melanoblast Migration and Survival Defect	Vitiligo::Melanocyte Destruction	SOX10_Neurocristopathy_Spectrum::Melanocyte lineage failure
0.821	immune_checkpoint_blockade#Adaptive Immune Resistance	Immune_Thrombocytopenia::T Cell Dysregulation	BRAF_V600_Mutant_Melanoma::Immune Evasion via PD-L1 Upregulation
0.821	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Multiple_Acyl-CoA_Dehydrogenase_Deficiency::ETFDH-driven metabolon disruption and OXPHOS dysfunction	Huntington_Disease::Mitochondrial Dysfunction
0.821	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Multisystem_Inflammatory_Syndrome_in_Children_MIS-C::Cardiac Involvement and Myocardial Dysfunction	Long_QT_Syndrome::Early Afterdepolarizations
0.821	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Metastatic_Breast_Carcinoma::ER and HER2 Receptor Heterogeneity	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.821	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Bronchiectasis::Inflammasome Activation and IL-1beta Signaling	Gout::Inflammasome Activation
0.821	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Inflammatory_Myofibroblastic_Tumor::Acquired Resistance to Kinase Inhibition	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.820	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	Peroxisome_Biogenesis_Disorder::Retinal Pigment Epithelium Dysfunction	Alstrom_Syndrome::Photoreceptor Degeneration
0.820	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Acne_Vulgaris::Inflammasome activation	Gout::Inflammasome Activation
0.820	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Acrodysostosis::Growth plate chondrocyte dysfunction	SADDAN::Severe disturbances in endochondral bone growth
0.819	immune_checkpoint_blockade#Adaptive Immune Resistance	Parvovirus_B19_Infection::Immune Response	Endometrial_Endometrioid_Adenocarcinoma::Immune Checkpoint Vulnerability
0.819	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Langerhans_Cell_Histiocytosis::MAPK/ERK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.819	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency::Impaired Oxidative Phosphorylation	Huntington_Disease::Mitochondrial Dysfunction
0.819	dna_repair_synthetic_lethality#PARP and Platinum Synthetic Lethality	BRCA_Mutant_Prostate_Cancer::Synthetic Lethality with PARP Inhibition	Ovarian_High-Grade_Serous_Carcinoma::PARP and Platinum Synthetic Lethality
0.818	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Myhre_Syndrome::Disrupted Chondrogenesis and Skeletal Growth	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.818	cardiac_ion_channel_repolarization#Syncope and Sudden Cardiac Death	Holt-Oram_Syndrome::Cardiac Septation and Conduction Defects	Torsade_De_Pointes_Syndrome_With_Short_Coupling_Interval::Ventricular fibrillation and cardiac arrest
0.817	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Congestive_Splenomegaly::Hypersplenism	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.817	somatotroph_camp_pka_overactivation#Somatotroph proliferation and adenoma growth	AIP-related_pituitary_adenoma_predisposition::Increased somatotroph proliferation and invasiveness	GNAS-related_pituitary_adenoma_3::Somatotroph adenoma growth
0.817	immune_checkpoint_blockade#Adaptive Immune Resistance	Cutaneous_Squamous_Cell_Carcinoma::Tumor Microenvironment Remodeling and Immune Evasion	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.816	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Pulmonary_Veno_Occlusive_Disease_And_Or_Pulmonary_Capillary_Haemangiomatosis::Pulmonary venous and capillary remodeling	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.816	fibrotic_response#Mesenchymal Cell Activation	Geleophysic_Dysplasia::Fibroblast ECM secretion and MMP-mediated migration dysregulation	Sarcoidosis::Fibrotic Tissue Remodeling
0.816	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Isovaleric_Acidemia::Mitochondrial energy depletion and oxidative stress	Huntington_Disease::Mitochondrial Dysfunction
0.816	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	NRAS_Mutant_Melanoma::Dual MAPK and PI3K Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.816	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Idiopathic_Spontaneous_Coronary_Artery_Dissection::Nonatherosclerotic arteriopathy and vessel wall vulnerability	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.816	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Juvenile_Polyposis_Syndrome::BMP/TGF-beta signaling dysregulation	Loeys-Dietz_Syndrome::Paradoxical TGF-beta Signaling
0.816	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Joubert_syndrome::Ciliary gene mutations disrupt primary cilium assembly	Meckel_Syndrome::Basal body localization without proper ciliogenesis
0.816	fibrotic_response#Inflammatory Recruitment and Amplification	Bird_Fanciers_Lung::MMP14-High Macrophage Profibrotic Activity	Idiopathic_Pulmonary_Fibrosis::Profibrotic macrophage recruitment and amplification
0.816	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Kniest_Dysplasia::Premature Chondrocyte Apoptosis	Thanatophoric_Dysplasia_Type_1::Impaired chondrocyte hypertrophy and differentiation
0.815	meiotic_prophase_failure#Homologous Recombination Repair of Meiotic DNA Breaks	BRCA_Mutant_Prostate_Cancer::Homologous Recombination Repair Deficiency	MCM9-related_gametogenic_failure::Impaired homologous recombination
0.814	ciliopathy_dysfunction#Renal Tubular Cystic and Fibrotic Disease	Lead_Poisoning::Chronic tubulointerstitial nephropathy	Bardet-Biedl_Syndrome::Renal tubulointerstitial injury
0.814	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Autism_Spectrum_Disorder::Excitatory/Inhibitory Imbalance	Epilepsy::Neuronal Hyperexcitability
0.813	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Autoimmune_Hemolytic_Anemia::Warm Autoantibody-Mediated Hemolysis	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.813	fibrotic_response#Excessive ECM Deposition	Spondyloepimetaphyseal_Dysplasia_Strudwick_Type::Collagen Triple Helix Disruption	Dupuytrens_Contracture::Excessive Collagen Deposition and Cord Formation
0.813	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Temple-Baraitser_Syndrome::Aberrant neuronal excitability	Epilepsy::Neuronal Hyperexcitability
0.812	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Hypochondrogenesis::Chondrocyte Apoptosis	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.811	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Renal_Artery_Obstruction::Atherosclerotic renal artery stenosis	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.811	intestinal_barrier_dysfunction#Villus Blunting and Surface Loss	Giardiasis::Caspase-3-dependent enterocyte apoptosis	Chemotherapy_Induced_Diarrhea::Enterocyte apoptosis, villus blunting, and surface loss
0.811	meiotic_prophase_failure#Homologous Recombination Repair of Meiotic DNA Breaks	Triple_Negative_Breast_Cancer::DNA Repair Deficiency	HROB-related_gametogenic_failure::Impaired homologous recombination
0.811	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Type_2_Diabetes_Mellitus::Mitochondrial Dysfunction and Oxidative Stress	Huntington_Disease::Mitochondrial Dysfunction
0.811	er_protein_storage_disease#Hepatic Protein Aggregation	Galactosemia::Endoplasmic Reticulum Stress	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.811	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	MED13_Syndrome::Cardiac developmental transcriptional dysregulation	Short_QT_Syndrome::Accelerated myocardial repolarization
0.810	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Friedreich_Ataxia::Mitochondrial Bioenergetic Failure and Oxidative Stress	Huntington_Disease::Mitochondrial Dysfunction
0.810	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Schneckenbecken_Dysplasia::Vertebral and Pelvic Ossification Failure	Hypochondroplasia::Impaired endochondral ossification
0.810	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Li-Fraumeni_Syndrome::Increased Mitochondrial Oxidative Phosphorylation	Huntington_Disease::Mitochondrial Dysfunction
0.810	fibrotic_response#Mesenchymal Cell Activation	Fabry_Disease::Fibrosis and extracellular matrix remodeling	IgG4-Related_Disease::Storiform Fibrosis
0.810	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Beta_Thalassemia::Ineffective Erythropoiesis	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.810	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Tall_Stature-Intellectual_Disability-Renal_Anomalies_Syndrome::IGF1R Overexpression and Growth Signaling Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.809	fibrotic_response#Excessive ECM Deposition	Ehlers-Danlos_Syndrome_COL5A1-related::Collagen Type V Abnormalities	Dupuytrens_Contracture::Excessive Collagen Deposition and Cord Formation
0.809	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Malignant_Non_Dysgerminomatous_Germ_Cell_Tumor_Of_Ovary::Yolk Sac Tumor Molecular Alteration	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.809	immune_checkpoint_blockade#Adaptive Immune Resistance	Pancreatic_Neuroendocrine_Tumor::Immune Microenvironment and Checkpoint Upregulation	Hepatocellular_Carcinoma::Immune Evasion and Immunosuppressive Microenvironment
0.809	intestinal_barrier_dysfunction#Epithelial Stress and Injury	Autoimmune_Enteropathy::Mucosal Epithelial Injury	Chemotherapy_Induced_Diarrhea::Crypt stem/progenitor apoptosis and epithelial injury
0.809	fibrotic_response#Mesenchymal Cell Activation	Osteogenesis_Imperfecta_Type_VII::Primary Lung Matrix Dysfunction	Sarcoidosis::Fibrotic Tissue Remodeling
0.808	neural_crest_melanocyte_deficiency#Cutaneous Hair and Iris Melanocyte Deficiency	PCWH_syndrome::Pigmentary developmental abnormality	PAX3_Waardenburg_Spectrum::Cutaneous hair and iris melanocyte deficiency
0.808	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Chronic_Obstructive_Pulmonary_Disease::NLRP3 Inflammasome Activation	Gout::Inflammasome Activation
0.808	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Wilsons_Disease::Neurodegeneration	Machado_Joseph_Disease::Multifocal neurodegeneration
0.808	fibrotic_response#Mesenchymal Cell Activation	Cholangiocarcinoma::Desmoplastic Stromal Reaction	Sarcoidosis::Fibrotic Tissue Remodeling
0.808	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Thymic_Carcinoma::Receptor tyrosine kinase pathway activation	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.808	er_protein_storage_disease#Hepatic Protein Aggregation	Diastrophic_Dysplasia::ATF6-Mediated Unfolded Protein Response	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.808	fibrotic_response#Mesenchymal Cell Activation	Spondylodysplastic_Ehlers-Danlos_Syndrome::Connective tissue matrix laxity and skin fragility	Sarcoidosis::Fibrotic Tissue Remodeling
0.807	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Spondylocarpotarsal_Synostosis_Syndrome::Derepressed TGF-beta/BMP Disc Ossification	Achondroplasia::FGFR3 gain-of-function signaling
0.807	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Heritable_Pulmonary_Arterial_Hypertension::Pulmonary artery smooth muscle hyperproliferation and vasoconstrictive bias	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.807	fibrotic_response#Excessive ECM Deposition	Ehlers-Danlos_Syndrome::Collagen Abnormalities	Dupuytrens_Contracture::Excessive Collagen Deposition and Cord Formation
0.807	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Hereditary_Elliptocytosis::Elliptocytic and Poikilocytic Red Cell Morphology	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.806	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Stevens-Johnson_Syndrome::Drug-Specific Cytotoxic T Cell Activation	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.806	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Metastatic_NSCLC::Oncogenic RTK Addiction	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.806	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Multiple_Synostoses_Syndrome::BMP Signaling Dysregulation	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.806	nephrolithiasis_crystal_nucleation#Urinary Supersaturation	Cystinosis::Extrarenal tissue cystine accumulation	Cystinuria::Urinary Cystine Supersaturation
0.806	somatotroph_camp_pka_overactivation#Somatotroph proliferation and adenoma growth	Ulnar-Mammary_Syndrome::Hypothalamic-Pituitary Axis Disruption	GPR101-related_pituitary_adenoma_2::Somatotroph/lactotroph pituitary hyperplasia or adenoma
0.806	ciliopathy_dysfunction#Renal Tubular Cystic and Fibrotic Disease	Multiple_Myeloma::Renal Impairment	Jeune_Asphyxiating_Thoracic_Dystrophy::Renal Cystogenesis
0.806	aortopathy_tgfbeta_dysregulation#Aortic Wall ECM or Contractile Apparatus Defect	ALDH18A1_De_Barsy_Spectrum::Extracellular matrix-related cellular dysregulation	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::Extracellular matrix structural failure
0.805	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Diabetes_Mellitus::Mitochondrial dysfunction and oxidative stress in metabolic tissues	Huntington_Disease::Mitochondrial Dysfunction
0.805	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Metaphyseal_Chondrodysplasia_Schmid_Type::Impaired VEGF-Mediated Vascular Invasion	Achondroplasia::FGFR3 gain-of-function signaling
0.805	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Osteogenesis_Imperfecta_Type_V::IFITM5 Gain-of-Function	Apert_Syndrome::Enhanced osteoblast differentiation and matrix mineralization in cranial suture mesenchyme
0.805	er_protein_storage_disease#Hepatic Protein Aggregation	Proteasome_Associated_Autoinflammatory_Syndrome::Proteotoxic and Endoplasmic Reticulum Stress	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.805	sensorineural_hair_cell_loss#Hair Cell Mechanotransduction Failure and Death	Wiskott_Aldrich_Syndrome::Actin cytoskeleton signaling defect	MYO6_Hearing_Loss::Stereocilia Dysfunction in Cochlear Hair Cells
0.804	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Embryonal_Rhabdomyosarcoma::RAS Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.804	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Fibrochondrogenesis::Cartilage Fibrosis and Chondrocyte Dysplasia	Achondroplasia::FGFR3 gain-of-function signaling
0.804	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Schneckenbecken_Dysplasia::Appendicular Skeletal Shortening and Metaphyseal Expansion	SADDAN::Severe disturbances in endochondral bone growth
0.804	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Ehlers-Danlos_Syndrome::Connective Tissue Fragility	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.804	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	IGF1_Deficiency::Impaired IGF1R Growth Signaling	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::TGF-beta signaling dysregulation
0.803	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	Inherited_Retinal_Dystrophy::Visual Cycle and Phototransduction Disruption	Alstrom_Syndrome::Photoreceptor Degeneration
0.803	immune_checkpoint_blockade#Adaptive Immune Resistance	Metastatic_Melanoma::PD-L1-Mediated Immune Escape	Classic_Hodgkin_Lymphoma::PD-1 Ligand-Mediated Immune Evasion
0.802	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Atrial_Fibrillation::Atrial Electrical Remodeling	Torsade_De_Pointes_Syndrome_With_Short_Coupling_Interval::Short-coupled premature ventricular trigger
0.802	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Feingold_Syndrome::Increased TGF-beta signaling in limb mesenchyme	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::TGF-beta signaling dysregulation
0.802	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Bacterial_meningitis::Inflammasome Activation and Pyroptosis	Gout::Inflammasome Activation
0.801	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Tay-Sachs_Disease::Neuron death	Machado_Joseph_Disease::Multifocal neurodegeneration
0.801	dna_repair_synthetic_lethality#HRR or FA/BRCA Repair Deficiency	Metastatic_Ovarian_Cancer::BRCA-Associated Homologous Recombination Deficiency	Fallopian_Tube_Cancer::Homologous Recombination Deficiency
0.801	neural_crest_melanocyte_deficiency#Melanoblast Migration and Survival Defect	MITF_Waardenburg_Tietz_Spectrum::MITF Loss of Function	SOX10_Neurocristopathy_Spectrum::Melanocyte lineage failure
0.800	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Fibromuscular_Dysplasia::Polygenic vascular contraction and arterial regulatory biology	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.800	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Dacryocystitis-Osteopoikilosis_Syndrome::LEMD3/MAN1 Loss-of-Function and Dysregulated TGF-beta/BMP Signaling	Crouzon_Syndrome::FGFR2 Gain-of-Function Signaling
0.800	er_protein_storage_disease#Hepatic Protein Aggregation	Metaphyseal_Chondrodysplasia_Schmid_Type::Collagen X Misfolding and ER Stress	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.800	fibrotic_response#Mesenchymal Cell Activation	Spondylodysplastic_Ehlers-Danlos_Syndrome::Defective Collagen Crosslinking	IgG4-Related_Disease::Storiform Fibrosis
0.800	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Osteogenesis_Imperfecta_Type_V::ERK/SOX9-Dependent Osteoprogenitor Differentiation Defect	Thanatophoric_Dysplasia_Type_1::Impaired chondrocyte hypertrophy and differentiation
0.800	complex_iv_assembly_deficiency#Lactic Acidosis and Metabolic Decompensation	Leigh_Syndrome::Lactic acidosis	SURF1-Related_Leigh_Syndrome::Lactic Acidosis from Reduced Oxidative Metabolism
0.800	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Fibrous_Dysplasia::Impaired osteogenic differentiation and marrow replacement	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.799	nephrotic_podocyte_injury#Glomerular Filtration Barrier Breakdown	IgA_Nephropathy::Podocyte damage and filtration barrier failure	Focal_Segmental_Glomerulosclerosis::Glomerular Filtration Barrier Dysfunction
0.799	somatotroph_camp_pka_overactivation#Somatotroph proliferation and adenoma growth	Central_Congenital_Hypothyroidism::Multiple Pituitary Hormone Deficiency Context	GPR101-related_pituitary_adenoma_2::Somatotroph/lactotroph pituitary hyperplasia or adenoma
0.799	glaucoma_optic_neuropathy#Retinal Ganglion Cell Apoptosis	Arts_syndrome::Optic Pathway Dysfunction	Glaucoma::Retinal Ganglion Cell Death
0.799	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Hypertensive_Heart_Disease::Oxidative Stress and Mitochondrial Dysfunction	Huntington_Disease::Mitochondrial Dysfunction
0.799	fibrotic_response#Mesenchymal Cell Activation	Hepatitis_C::Chronic Inflammation and Fibrosis	Hepatic_Veno-occlusive_Disease-Immunodeficiency_Syndrome::Hepatic stellate cell activation and fibrotic remodeling
0.799	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Plasma_Cell_Neoplasm::Osteoclast-Osteoblast Uncoupling	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.799	aortopathy_tgfbeta_dysregulation#Aortic Wall ECM or Contractile Apparatus Defect	Segmental_Arterial_Mediolysis::Medial lysis and arterial gaps	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::Extracellular matrix structural failure
0.798	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Lafora_Disease::Synaptic dysfunction and cortical hyperexcitability	Epilepsy::Neuronal Hyperexcitability
0.798	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Intracranial_Berry_Aneurysm::Endothelial and vascular smooth muscle dysfunction	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.798	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Multiple_Myeloma::Osteolytic Bone Disease	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.798	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Barth_Syndrome::Mitochondrial respiratory chain dysfunction	Huntington_Disease::Mitochondrial Dysfunction
0.798	fgfr_gain_of_function_skeletal_dysplasia#CNP-NPR2 Counter-Regulation and FGFR-Pathway Antagonist Therapy	Acromesomelic_Dysplasia_Maroteaux_Type::Impaired CNP-NPR-B-cGMP Signaling in Growth Plate	Achondroplasia::CNP-NPR2 counter-regulatory pathway
0.797	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Pseudohypoparathyroidism::AHO Developmental Tissue Effects	Hypochondroplasia::Impaired endochondral ossification
0.797	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Cadmium_Poisoning::Direct Osteoblast Toxicity	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.797	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Glycogen_Storage_Disease_Type_VII::Erythrocyte Phosphofructokinase Partial Deficiency	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.797	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	Adult_Onset_Foveomacular_Vitelliform_Dystrophy::Progressive Macular Atrophy and Vision Loss	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.797	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	North_Carolina_Macular_Dystrophy::IRX1 Regulatory Dysregulation	Dentatorubral-Pallidoluysian_Atrophy::ATN1 Transcriptional Co-repressor Dysregulation
