count	maxo_id	maxo_label	ncit_id	ncit_label	confidence	note
1	MAXO:0000653	angiotensin receptor blocker therapy	NCIT:C172184	Antihypertensive Therapy	MED	ARB is an antihypertensive drug class
1	MAXO:0001475	sodium-glucose cotransporter-2 inhibitor therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; SGLT2i drug class, no antidiabetic-therapy term
1	MAXO:0001183	bronchoscopy	NCIT:C16366	Bronchoscopy	HIGH	exact
1	MAXO:0035082	barium swallow radiograph procedure	NCIT:C38112	Esophagography	HIGH	barium swallow ~ esophagography
1	MAXO:0001198	otoscopy	NCIT:C20989	Physical Examination	LOW	broader; no otoscopy term
1	MAXO:0001081	tonsillectomy	NCIT:C51679	Tonsillectomy	HIGH	exact
1	MAXO:0000528	prenatal examination	NCIT:C92920	Assessment of Fetal Condition	MED	broader; antenatal/prenatal exam
1	MAXO:0000307	antiglaucoma agent therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; antiglaucoma drug class, not a procedure
1	MAXO:0001004	smoking cessation agent therapy	NCIT:C15372	Smoking Cessation Intervention	MED	agent therapy is drug; term also covers behavioral
1	MAXO:0000804	avoid destabilizing activities	NCIT:C15900	Lifestyle Therapy	LOW	broader; activity avoidance/restriction
1	MAXO:0001533	denture usage	NCIT:C38052	Dental Procedure	LOW	broader; denture/dental prosthesis, not a procedure per se
1	MAXO:0000945	spinal cord stimulation	NCIT:C21023	Spinal Cord Stimulation	HIGH	exact
1	MAXO:0000672	emergency medicine specialist evaluation	NCIT:C52641	Emergency Care	MED	broader; specialist consult in ER
1	MAXO:0020010	autonomic nervous system function evaluation	NCIT:C81313	Neurologic Examination	MED	broader; no autonomic-function-test term
1	MAXO:0000476	left cardiac sympathetic denervation	NCIT:C15329	Surgical Procedure	LOW	broader; cardiac sympathectomy, no specific term
1	MAXO:0009017	cognitive assessment	NCIT:C165543	Neuropsychological Assessment	MED	cognitive assessment ~ neuropsychological assessment
1	MAXO:0000139	autopsy procedure	NCIT:C25153	Autopsy	HIGH	exact
1	MAXO:0010019	vitamin B1 supplementation	NCIT:C15433	Nutritional Support	MED	broader; thiamine supplementation
1	MAXO:0001262	micronutrient supplementation	NCIT:C15433	Nutritional Support	MED	broader; micronutrient supplementation
1	MAXO:0000748	fecal microbiota transplantation	NCIT:C118643	Fecal Microbiota Transplantation	HIGH	exact (known-good)
1	MAXO:0009009	prenatal renal ultrasonography	NCIT:C222238	Fetal Ultrasound Imaging	MED	broader; prenatal renal US, drops renal specificity
1	MAXO:0000439	selective serotonin reuptake inhibitor therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; SSRI drug class, no antidepressant-therapy term
1	MAXO:0000214	serotonin-norepinephrine reuptake inhibitor agent therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; SNRI drug class, no antidepressant-therapy term
1	MAXO:0001610	transcranial magnetic stimulation	NCIT:C116655	Transcranial Magnetic Stimulation	HIGH	exact (known-good)
1	MAXO:0000512	continuous positive airway pressure ventilation	NCIT:C124040	Continuous Positive Airway Pressure	HIGH	exact
1	MAXO:0000955	bi-level positive airway pressure ventilation	NCIT:C124039	Biphasic Positive Airway Pressure	MED	bilevel ~ biphasic PAP
1	MAXO:0001315	dental radiography	NCIT:C38101	X-Ray Imaging	MED	broader; no generic dental-radiography term
1	MAXO:0025004	glasses usage	NCIT:C87148	Glasses	MED	device/object, not a procedure
1	MAXO:0000603	peritoneal dialysis	NCIT:C15221	Dialysis	MED	broader; no PD-specific procedure term
1	MAXO:0001075	posthectomy	NCIT:C87068	Male Circumcision	MED	posthectomy = foreskin removal = circumcision
1	MAXO:0035096	breath hydrogen test	NCIT:C116515	Breath Test	MED	broader; hydrogen breath test not in NCIT
1	MAXO:0001141	glucose supplementation	NCIT:C1505	Dietary Supplement	LOW	broader; no glucose supplement/action term
1	MAXO:0000049	physical activity avoidance recommendation	NCIT:C15184	Behavioral Intervention	MED	lifestyle/avoidance recommendation, not a procedure
1	MAXO:0001406	diagnostic procedure of nervous system	NCIT:C18020	Diagnostic Procedure	MED	broader; nervous-system-specific term absent
1	MAXO:0000486	distraction osteogenesis	NCIT:C16186	Orthopedic Surgical Procedure	MED	broader; distraction osteogenesis not in NCIT
1	MAXO:0020000	coagulation factor VIII replacement therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; no factor-replacement therapy term
1	MAXO:0000365	biopsy of gonad	NCIT:C15189	Biopsy Procedure	MED	broader; gonad biopsy
1	MAXO:0010052	dietary mammalian meat food product intake avoidance	NCIT:C15447	Dietary Intervention	MED	meat-avoidance diet
1	MAXO:0020033	magnetic resonance spectroscopy	NCIT:C16810	Magnetic Resonance Spectroscopy	HIGH	
1	MAXO:0010038	whole lung transplantation	NCIT:C15274	Lung Transplantation	HIGH	
1	MAXO:0000855	hemoglobin electrophoresis test	NCIT:C16536	Electrophoresis	MED	broader; hemoglobin electrophoresis
1	MAXO:0001478	fetal MRI	NCIT:C16809	Magnetic Resonance Imaging	MED	broader; fetal MRI
1	MAXO:0002001	tobacco consumption avoidance	NCIT:C15372	Smoking Cessation Intervention	MED	tobacco avoidance = smoking cessation
1	MAXO:0001139	calcium supplementation	NCIT:C137864	Calcium Supplement	MED	substance term, not action
1	MAXO:0009038	coronary stent insertion	NCIT:C99521	Percutaneous Coronary Intervention	MED	coronary stenting = PCI
1	MAXO:0000324	skeletal muscle relaxant agent therapy	NCIT:C29696	Muscle Relaxant	MED	drug class, not a procedure
1	MAXO:0000001	medical action	NCIT:C25218	Clinical Intervention or Procedure	LOW	root/top-level term
1	MAXO:0000288	progestin modifying agent therapy	NCIT:C15484	Progestin Therapy	MED	
1	MAXO:0000234	aromatase inhibitor agent therapy	NCIT:C1740	Aromatase Inhibitor	MED	drug class, not a procedure
1	MAXO:0001072	parathyroidectomy	NCIT:C51593	Parathyroidectomy	HIGH	
1	MAXO:0000739	HMG-CoA reductase inhibitor therapy	NCIT:C1655	HMG-CoA Reductase Inhibitor	MED	drug class (statin), not a procedure
1	MAXO:0000165	diuretic agent therapy	NCIT:C448	Diuretic	MED	drug class, not a procedure
1	MAXO:0035080	apoptosis assay			NONE	in-vitro lab assay, not a clinical procedure
1	MAXO:0000198	penicillin agent therapy	NCIT:C15620	Antibiotic Therapy	MED	broader; penicillin
1	MAXO:0001535	dental bridge implantation	NCIT:C38052	Dental Procedure	MED	broader; dental bridge implantation
1	MAXO:0001067	oophorectomy	NCIT:C15291	Oophorectomy	HIGH	
1	MAXO:0000434	calcium channel blocking agent therapy	NCIT:C333	Calcium Channel Blocker	MED	drug class, not a procedure
1	MAXO:0001321	nuclear medicine imaging procedure	NCIT:C62667	Radionuclide Imaging	MED	radionuclide/nuclear medicine imaging
1	MAXO:0035097	visual evoked potential procedure	NCIT:C18020	Diagnostic Procedure	LOW	broader; no base VEP term (only subtypes)
1	MAXO:0000886	kidney function testing	NCIT:C74972	Renal Function Test	HIGH	
1	MAXO:0001032	appendectomy	NCIT:C51687	Appendectomy	HIGH	
1	MAXO:0000460	therapeutic irrigation	NCIT:C49236	Therapeutic Procedure	LOW	broader; only site-specific irrigations in NCIT
1	MAXO:0000015	biologic therapy	NCIT:C15187	Biological Therapy	HIGH	
1	MAXO:0000194	opioid analgesic agent therapy	NCIT:C15180	Pain Therapy	MED	broader; opioid analgesic therapy
1	MAXO:0001391	adrenal hormone replacement therapy	NCIT:C15599	Hormone Replacement Therapy	MED	broader; adrenal/corticosteroid replacement
1	MAXO:0000536	chorionic villus sampling	NCIT:C18020	Diagnostic Procedure	LOW	broader; CVS not in NCIT (amniocentesis distinct)
1	MAXO:0000314	inhaled corticosteroid agent therapy	NCIT:C121367	Localized Corticosteroid Therapy	MED	broader; inhaled corticosteroid
1	MAXO:0000315	antileukotriene agent therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; no leukotriene-antagonist class term
1	MAXO:0025006	strabismus surgery	NCIT:C15331	Ophthalmologic Surgical Procedure	MED	broader; strabismus surgery
1	MAXO:0001052	esophagectomy	NCIT:C15357	Esophagectomy	HIGH	
1	MAXO:0000861	labor induction	NCIT:C92814	Induction of Labor	HIGH	
1	MAXO:0001123	potassium supplementation	NCIT:C1505	Dietary Supplement	LOW	broader; no potassium supplement term
1	MAXO:0001149	magnesium supplementation	NCIT:C210674	Magnesium Supplement	MED	substance term, not action
1	MAXO:0000611	rapid IgM-IgG combined antibody testing	NCIT:C81869	Immunoglobulin Measurement	MED	IgM/IgG antibody measurement
1	MAXO:0001303	cardiac MRI	NCIT:C137915	Magnetic Resonance Imaging of the Heart	HIGH	
1	MAXO:0035108	sweat electrolyte test	NCIT:C18020	Diagnostic Procedure	LOW	broader; sweat chloride test not in NCIT
1	MAXO:0020006	Transepithelial nasal potential difference measurement			NONE	no NCIT term for nasal potential difference
1	MAXO:0000398	biopsy of rectum	NCIT:C51693	Rectal Biopsy	HIGH	
1	MAXO:0000184	alpha adrenergic antagonist therapy	NCIT:C29713	Alpha-Adrenergic Antagonist	MED	drug class, not a procedure
1	MAXO:0000908	phosphodiesterase inhibitor therapy	NCIT:C744	Phosphodiesterase Inhibitor	MED	drug class, not a procedure
1	MAXO:0000944	cranial electrical stimulation	NCIT:C116561	Cranial Electrical Stimulation	HIGH	
1	MAXO:0035085	cervical spine radiography	NCIT:C38101	X-Ray Imaging	MED	broader; cervical spine radiography
1	MAXO:0001420	therapeutic procedure of reproductive system	NCIT:C49236	Therapeutic Procedure	MED	broader; reproductive-system-specific term absent
1	MAXO:0000272	proton pump inhibitor agent therapy	NCIT:C29723	Proton Pump Inhibitor	MED	drug class, not a procedure
1	MAXO:0001395	radiofrequency ablation therapy	NCIT:C15666	Radiofrequency Ablation	HIGH	
