sample_id,accession,dataset,organism,tissue,source_metadata,assigned_group,exclusion_reason
M271140,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M271150,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M27285,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M27409,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M27521,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M2772,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M27813,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M27965,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28034,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28083,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28098,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28167,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M282520,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28379,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28437,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28592,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28843,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M28892,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M2899,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M29124,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M29188,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M29466,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M29582,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M29637,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M29668,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M29716,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M29736,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M298992,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M3003,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M30150,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M30199,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M3038,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M304882,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M30663,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M307567,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M31225,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M31555,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M31556,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M31634,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M31737,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M31762,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M31969,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M31998,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M32068,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M323252,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M32482,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M32561,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M32714,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M32931,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M32995,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M3319,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M33390,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M33508,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M336074,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M33688,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M33690,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M33789,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M33868,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M33987,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34015,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34070,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34238,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34302,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34371,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34583,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34682,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34701,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M34815,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M35096,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M35115,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M35312,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M35594,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M35609,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M3566,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M35758,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M35840,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M36047,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M36067,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M36121,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M36203,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M36388,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M36615,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M36634,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M37107,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M37256,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M37330,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M3760,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M37684,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M37941,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M37960,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M3797,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M38069,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M38405,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M384383,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M38454,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M38519,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M38686,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M39198,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M39233,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M39413,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M39480,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M395695,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M39711,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M4009,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M40103,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M40274,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M4030,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M40437,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M40565,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
